,year,doy,tile,sensor,HLSFAPAR,HLSFAPARstd,sza,site
0,2013,196,T17TNH,L30,0.94223523,0.027357634,27.26,CA-TP4
1,2013,260,T17TNH,L30,0.9582472,0.015759287,43.59,CA-TP4
2,2013,324,T17TNH,L30,0.9534926,0.016030956,64.12,CA-TP4
3,2014,151,T17TNH,L30,0.9249225,0.039063454,26.05,CA-TP4
4,2014,167,T17TNH,L30,0.9135778,0.049678,25.27,CA-TP4
5,2014,231,T17TNH,L30,0.94578147,0.026319424,34.800000000000004,CA-TP4
6,2014,247,T17TNH,L30,0.9474261,0.024032049,39.44,CA-TP4
7,2015,154,T17TNH,L30,0.91938496,0.04198242,25.86,CA-TP4
8,2015,202,T17TNH,L30,0.94525445,0.02564366,28.44,CA-TP4
9,2015,250,T17TNH,L30,0.95014447,0.022331424,40.33,CA-TP4
10,2015,266,T17TNH,L30,0.95784295,0.016248878,45.62,CA-TP4
11,2016,077,T17TNH,L30,0.92961776,0.03463424,47.78,CA-TP4
12,2016,173,T17TNH,L30,0.9364288,0.02995611,25.36,CA-TP4
13,2016,205,T17TNH,L30,0.94360447,0.025228964,28.86,CA-TP4
14,2016,221,T17TNH,L30,0.9484772,0.02307367,32.17,CA-TP4
15,2016,237,T17TNH,L30,0.95189995,0.021234402,36.31,CA-TP4
16,2016,317,T17TNH,L30,0.95169204,0.017024213,62.26,CA-TP4
17,2017,015,T17TNH,L30,0.9555509,0.014620718,66.78,CA-TP4
18,2017,127,T17TNH,L30,0.91370213,0.051045604,30.240000000000002,CA-TP4
19,2017,143,T17TNH,L30,0.9174422,0.04369756,27.02,CA-TP4
20,2017,175,T17TNH,L30,0.9390512,0.029545933,25.48,CA-TP4
21,2017,335,T17TNH,L30,0.958077,0.012899939,66.4,CA-TP4
22,2018,162,T17TNH,L30,0.9316256,0.033739947,25.45,CA-TP4
23,2018,226,T17TNH,L30,0.9463859,0.02508366,33.58,CA-TP4
24,2018,338,T17TNH,L30,0.9612539,0.010728341,66.85,CA-TP4
25,2019,085,T17TNH,L30,0.9354493,0.03222961,44.550000000000004,CA-TP4
26,2019,165,T17TNH,L30,0.93274593,0.03596591,25.27,CA-TP4
27,2019,181,T17TNH,L30,0.9421287,0.027124189,25.8,CA-TP4
28,2019,213,T17TNH,L30,0.9430832,0.025137765,30.46,CA-TP4
29,2019,261,T17TNH,L30,0.95227176,0.020650709,43.9,CA-TP4
30,2019,293,T17TNH,L30,0.95583165,0.016297812,54.95,CA-TP4
31,2020,168,T17TNH,L30,0.93633735,0.03107164,25.28,CA-TP4
32,2020,184,T17TNH,L30,0.9408404,0.028502736,26.05,CA-TP4
33,2020,200,T17TNH,L30,0.9460643,0.025956694,28.04,CA-TP4
34,2020,264,T17TNH,L30,0.9594806,0.01471967,44.84,CA-TP4
35,2016,118,T17TNH,S30,0.89608246,0.058836564,31.13,CA-TP4
36,2016,148,T17TNH,S30,0.9240978,0.03870618,24.37,CA-TP4
37,2016,248,T17TNH,S30,0.9541785,0.019481445,38.12,CA-TP4
38,2016,268,T17TNH,S30,0.9634409,0.011261385,45.04,CA-TP4
39,2016,288,T17TNH,S30,0.9550643,0.018229917,52.230000000000004,CA-TP4
40,2017,082,T17TNH,S30,0.91754603,0.043038234,44.0,CA-TP4
41,2017,162,T17TNH,S30,0.93119645,0.034520693,23.150000000000002,CA-TP4
42,2017,267,T17TNH,S30,0.949502,0.021061556,44.97,CA-TP4
43,2018,057,T17TNH,S30,0.95054126,0.02096322,53.88,CA-TP4
44,2018,092,T17TNH,S30,0.90620106,0.05083619,40.15,CA-TP4
45,2018,112,T17TNH,S30,0.89652497,0.056362443,32.89,CA-TP4
46,2018,127,T17TNH,S30,0.89152145,0.058073714,28.43,CA-TP4
47,2018,137,T17TNH,S30,0.9125433,0.04869367,26.12,CA-TP4
48,2018,162,T17TNH,S30,0.92574733,0.037203845,23.16,CA-TP4
49,2018,177,T17TNH,S30,0.9387038,0.03108633,23.32,CA-TP4
50,2018,182,T17TNH,S30,0.9355631,0.03181902,23.67,CA-TP4
51,2018,187,T17TNH,S30,0.9430636,0.026483707,24.14,CA-TP4
52,2018,272,T17TNH,S30,0.9622188,0.011579961,46.67,CA-TP4
53,2018,277,T17TNH,S30,0.9617476,0.012860873,48.47,CA-TP4
54,2018,282,T17TNH,S30,0.95782876,0.015281091,50.27,CA-TP4
55,2018,327,T17TNH,S30,0.9541025,0.016383149,64.02,CA-TP4
56,2018,352,T17TNH,S30,0.96010673,0.010628692,67.37,CA-TP4
57,2019,082,T17TNH,S30,0.93618,0.031895548,44.19,CA-TP4
58,2019,122,T17TNH,S30,0.9132012,0.048866335,29.86,CA-TP4
59,2019,147,T17TNH,S30,0.9260823,0.03915362,24.46,CA-TP4
60,2019,192,T17TNH,S30,0.942738,0.026212169,24.71,CA-TP4
61,2019,282,T17TNH,S30,0.9540039,0.019189492,50.18,CA-TP4
62,2019,312,T17TNH,S30,0.95674825,0.015860615,60.15,CA-TP4
63,2020,092,T17TNH,S30,0.91978,0.043684464,40.34,CA-TP4
64,2020,097,T17TNH,S30,0.9166366,0.046749838,38.42,CA-TP4
65,2020,127,T17TNH,S30,0.87159234,0.067098424,28.55,CA-TP4
66,2020,142,T17TNH,S30,0.92805874,0.035648394,25.29,CA-TP4
67,2020,167,T17TNH,S30,0.9372671,0.03246866,23.05,CA-TP4
68,2020,172,T17TNH,S30,0.9373939,0.030409992,23.1,CA-TP4
69,2020,177,T17TNH,S30,0.9408346,0.027672477,23.28,CA-TP4
70,2020,182,T17TNH,S30,0.9413524,0.027302712,23.62,CA-TP4
71,2020,197,T17TNH,S30,0.9296552,0.036097694,25.38,CA-TP4
72,2020,207,T17TNH,S30,0.9414264,0.028830094,27.13,CA-TP4
73,2020,227,T17TNH,S30,0.94802594,0.02359576,31.810000000000002,CA-TP4
74,2020,262,T17TNH,S30,0.95778424,0.016390778,42.910000000000004,CA-TP4
75,2020,287,T17TNH,S30,0.9529258,0.018431831,51.88,CA-TP4
76,2020,317,T17TNH,S30,0.95938426,0.012542912,61.480000000000004,CA-TP4
77,2020,342,T17TNH,S30,0.95995075,0.01180355,66.48,CA-TP4
