,year,doy,tile,sensor,HLSFAPAR,HLSFAPARstd,sza,site
0,2013,116,T17TNH,L30,0.34143785,0.0632197,33.06,CA-TPD
1,2013,260,T17TNH,L30,0.951475,0.025301557,43.58,CA-TPD
2,2013,324,T17TNH,L30,0.6015607,0.057924848,64.09,CA-TPD
3,2014,151,T17TNH,L30,0.81332546,0.058442354,26.09,CA-TPD
4,2014,167,T17TNH,L30,0.886543,0.054547172,25.32,CA-TPD
5,2014,247,T17TNH,L30,0.94267124,0.035104617,39.45,CA-TPD
6,2015,154,T17TNH,L30,0.882501,0.058511358,25.900000000000002,CA-TPD
7,2015,202,T17TNH,L30,0.9215143,0.04119707,28.488888888888887,CA-TPD
8,2015,218,T17TNH,L30,0.87281203,0.06504769,31.62,CA-TPD
9,2015,250,T17TNH,L30,0.8697019,0.045546427,40.33,CA-TPD
10,2015,266,T17TNH,L30,0.8856591,0.04003583,45.61,CA-TPD
11,2016,077,T17TNH,L30,0.53250647,0.06681617,47.79,CA-TPD
12,2016,109,T17TNH,L30,0.38016903,0.05827157,35.77444444444444,CA-TPD
13,2016,141,T17TNH,L30,0.65026474,0.078665115,27.48,CA-TPD
14,2016,173,T17TNH,L30,0.9465298,0.029996054,25.41,CA-TPD
15,2016,189,T17TNH,L30,0.9232957,0.042522952,26.580000000000002,CA-TPD
16,2016,205,T17TNH,L30,0.9561589,0.020238144,28.900000000000002,CA-TPD
17,2016,221,T17TNH,L30,0.9454373,0.030992635,32.2,CA-TPD
18,2016,237,T17TNH,L30,0.93331933,0.03988452,36.33,CA-TPD
19,2016,317,T17TNH,L30,0.5676354,0.057789095,62.230000000000004,CA-TPD
20,2017,127,T17TNH,L30,0.5061967,0.07348569,30.26,CA-TPD
21,2017,143,T17TNH,L30,0.70330685,0.06264155,27.05,CA-TPD
22,2017,175,T17TNH,L30,0.9485372,0.028967312,25.526666666666667,CA-TPD
23,2017,335,T17TNH,L30,0.7456204,0.05195801,66.37,CA-TPD
24,2018,162,T17TNH,L30,0.93015695,0.04073216,25.5,CA-TPD
25,2018,258,T17TNH,L30,0.9485748,0.027032629,43.034444444444446,CA-TPD
26,2018,338,T17TNH,L30,0.6450422,0.053386,66.82000000000001,CA-TPD
27,2019,085,T17TNH,L30,0.41946793,0.055566236,44.550000000000004,CA-TPD
28,2019,165,T17TNH,L30,0.93350196,0.036741007,25.32,CA-TPD
29,2019,181,T17TNH,L30,0.95682895,0.022067042,25.85,CA-TPD
30,2019,213,T17TNH,L30,0.94226795,0.033348564,30.490000000000002,CA-TPD
31,2019,261,T17TNH,L30,0.9359669,0.035705328,43.9,CA-TPD
32,2020,168,T17TNH,L30,0.9237001,0.043902144,25.330000000000002,CA-TPD
33,2020,184,T17TNH,L30,0.9341456,0.039531365,26.1,CA-TPD
34,2020,200,T17TNH,L30,0.93088466,0.039118394,28.09,CA-TPD
35,2020,232,T17TNH,L30,0.92933947,0.0400414,34.97,CA-TPD
36,2020,248,T17TNH,L30,0.9293354,0.040297292,39.61,CA-TPD
37,2020,264,T17TNH,L30,0.93602157,0.035766933,44.83222222222223,CA-TPD
38,2016,118,T17TNH,S30,0.41692182,0.055911396,31.13,CA-TPD
39,2016,148,T17TNH,S30,0.7682461,0.05785886,24.39,CA-TPD
40,2016,248,T17TNH,S30,0.94295764,0.033330027,38.11,CA-TPD
41,2016,268,T17TNH,S30,0.9593834,0.018462785,45.01,CA-TPD
42,2016,288,T17TNH,S30,0.9128968,0.046265855,52.19,CA-TPD
43,2017,082,T17TNH,S30,0.4254341,0.05712913,43.99,CA-TPD
44,2017,162,T17TNH,S30,0.92322856,0.04480503,23.17,CA-TPD
