,year,doy,tile,sensor,HLSFAPAR,HLSFAPARstd,sza,site
0,2013,170,T18TYP,L30,0.954893,0.013649725,26.12,US-Bar
1,2013,193,T18TYP,L30,0.9475685,0.021386672,27.2,US-Bar
2,2013,234,T18TYP,L30,0.9399768,0.0253114,36.71,US-Bar
3,2013,257,T18TYP,L30,0.9265759,0.03731935,43.410000000000004,US-Bar
4,2013,273,T18TYP,L30,0.89832795,0.06231161,49.01,US-Bar
5,2013,282,T18TYP,L30,0.8459117,0.087782495,52.57,US-Bar
6,2014,173,T18TYP,L30,0.95317817,0.014916251,26.47,US-Bar
7,2014,237,T18TYP,L30,0.9475553,0.019943953,37.7,US-Bar
8,2014,253,T18TYP,L30,0.9435945,0.023048436,42.63,US-Bar
9,2014,269,T18TYP,L30,0.9101182,0.04860653,48.050000000000004,US-Bar
10,2014,276,T18TYP,L30,0.8853014,0.06630813,50.1,US-Bar
11,2014,285,T18TYP,L30,0.8134184,0.098983936,53.64,US-Bar
12,2015,144,T18TYP,L30,0.93477577,0.029669149,28.17,US-Bar
13,2015,183,T18TYP,L30,0.9506257,0.01997117,26.330000000000002,US-Bar
14,2015,208,T18TYP,L30,0.94756466,0.021270493,30.64,US-Bar
15,2015,215,T18TYP,L30,0.9482105,0.020033583,31.37,US-Bar
16,2015,224,T18TYP,L30,0.9476306,0.02144785,34.17,US-Bar
17,2015,240,T18TYP,L30,0.9463301,0.021427589,38.53,US-Bar
18,2015,247,T18TYP,L30,0.93511707,0.02990526,40.11,US-Bar
19,2015,263,T18TYP,L30,0.94484043,0.022492839,45.45,US-Bar
20,2015,279,T18TYP,L30,0.92112607,0.04255318,51.08,US-Bar
21,2015,288,T18TYP,L30,0.81205404,0.10510295,54.6,US-Bar
22,2015,304,T18TYP,L30,0.7981224,0.10229693,59.9,US-Bar
23,2015,320,T18TYP,L30,0.85686976,0.076112084,64.47,US-Bar
24,2015,327,T18TYP,L30,0.8620039,0.072234415,65.81,US-Bar
25,2016,090,T18TYP,L30,0.70187736,0.12359275,43.43,US-Bar
26,2016,106,T18TYP,L30,0.73366785,0.1066077,37.47,US-Bar
27,2016,131,T18TYP,L30,0.72078633,0.108743556,30.650000000000002,US-Bar
28,2016,138,T18TYP,L30,0.8190557,0.09519321,28.5,US-Bar
29,2016,147,T18TYP,L30,0.93291104,0.03115402,27.71,US-Bar
30,2016,170,T18TYP,L30,0.950506,0.017503697,25.63,US-Bar
31,2016,186,T18TYP,L30,0.95040387,0.018284477,26.53,US-Bar
32,2016,195,T18TYP,L30,0.94883513,0.019235022,28.38,US-Bar
33,2016,218,T18TYP,L30,0.9329209,0.033849604,31.96,US-Bar
34,2016,243,T18TYP,L30,0.9507976,0.017965157,39.31,US-Bar
35,2016,259,T18TYP,L30,0.94673306,0.02241332,44.44,US-Bar
36,2016,266,T18TYP,L30,0.94244945,0.024734972,46.38111111111112,US-Bar
37,2016,291,T18TYP,L30,0.80899066,0.106060825,55.53,US-Bar
38,2016,323,T18TYP,L30,0.8691987,0.06639615,65.13,US-Bar
39,2017,140,T18TYP,L30,0.9172518,0.044491272,28.0,US-Bar
40,2017,165,T18TYP,L30,0.949775,0.018764783,26.38,US-Bar
41,2017,172,T18TYP,L30,0.95083046,0.01767309,25.68,US-Bar
42,2017,213,T18TYP,L30,0.9424655,0.02414926,31.71777777777778,US-Bar
43,2017,245,T18TYP,L30,0.9393418,0.027838638,40.17,US-Bar
44,2017,268,T18TYP,L30,0.928915,0.036569864,47.36,US-Bar
45,2017,277,T18TYP,L30,0.9122376,0.050621133,50.93,US-Bar
