,year,doy,tile,sensor,HLSFAPAR,HLSFAPARstd,sza,site
0,2013,106,T18TYN,L30,0.38324636,0.0955152,36.61,US-HF
1,2013,122,T18TYN,L30,0.41797954,0.09807892,31.622222222222224,US-HF
2,2013,170,T18TYN,L30,0.86570084,0.037562177,25.47,US-HF
3,2013,193,T18TYN,L30,0.85672104,0.03988268,26.47888888888889,US-HF
4,2013,218,T18TYN,L30,0.8005874,0.053042173,31.79,US-HF
5,2013,234,T18TYN,L30,0.77317214,0.052990984,35.79,US-HF
6,2013,250,T18TYN,L30,0.86371017,0.04101389,40.52,US-HF
7,2013,266,T18TYN,L30,0.87443024,0.035721686,45.81,US-HF
8,2013,273,T18TYN,L30,0.8164603,0.056216214,47.79,US-HF
9,2014,093,T18TYN,L30,0.32048178,0.0817148,41.59,US-HF
10,2014,100,T18TYN,L30,0.43720058,0.08071192,38.39,US-HF
11,2014,132,T18TYN,L30,0.43807325,0.0905779,28.76,US-HF
12,2014,141,T18TYN,L30,0.68978035,0.06476469,27.78,US-HF
13,2014,205,T18TYN,L30,0.89848834,0.02792112,29.400000000000002,US-HF
14,2014,221,T18TYN,L30,0.88813084,0.027752874,32.660000000000004,US-HF
15,2014,237,T18TYN,L30,0.8769711,0.036719494,36.77,US-HF
16,2014,269,T18TYN,L30,0.88520026,0.03357119,46.9,US-HF
17,2014,276,T18TYN,L30,0.82527995,0.0558241,48.870000000000005,US-HF
18,2014,285,T18TYN,L30,0.78301024,0.05460597,52.410000000000004,US-HF
19,2014,324,T18TYN,L30,0.5616286,0.09113218,63.87222222222223,US-HF
20,2015,128,T18TYN,L30,0.49699056,0.08610847,30.51,US-HF
21,2015,144,T18TYN,L30,0.7945553,0.05598304,27.42,US-HF
22,2015,192,T18TYN,L30,0.87768227,0.03299826,27.44,US-HF
23,2015,215,T18TYN,L30,0.8562904,0.037987333,30.57,US-HF
24,2015,240,T18TYN,L30,0.8857705,0.026364833,37.58,US-HF
25,2015,263,T18TYN,L30,0.8960352,0.030824985,44.29,US-HF
26,2015,279,T18TYN,L30,0.81600547,0.060038105,49.845555555555556,US-HF
27,2015,288,T18TYN,L30,0.74436057,0.054314356,53.370000000000005,US-HF
28,2015,304,T18TYN,L30,0.61300933,0.07090617,58.63,US-HF
29,2015,320,T18TYN,L30,0.6360084,0.07289587,63.18,US-HF
30,2015,327,T18TYN,L30,0.6445815,0.07508827,64.49,US-HF
31,2015,359,T18TYN,L30,0.62302697,0.0720946,68.19,US-HF
32,2016,058,T18TYN,L30,0.5024125,0.08365503,54.79,US-HF
33,2016,090,T18TYN,L30,0.39284027,0.08774007,42.38,US-HF
34,2016,106,T18TYN,L30,0.3889949,0.08720029,36.464444444444446,US-HF
35,2016,115,T18TYN,L30,0.43585736,0.08785604,34.14,US-HF
36,2016,131,T18TYN,L30,0.44494894,0.09661458,29.810000000000002,US-HF
37,2016,170,T18TYN,L30,0.8759564,0.02468792,24.93,US-HF
38,2016,186,T18TYN,L30,0.87653285,0.025653062,25.85,US-HF
39,2016,195,T18TYN,L30,0.8671183,0.034535494,27.740000000000002,US-HF
40,2016,202,T18TYN,L30,0.8589713,0.03540282,27.98,US-HF
41,2016,218,T18TYN,L30,0.8776653,0.026084648,31.122222222222224,US-HF
42,2016,243,T18TYN,L30,0.88306206,0.028653271,38.34,US-HF
43,2016,266,T18TYN,L30,0.8885442,0.030085126,45.21,US-HF
44,2016,307,T18TYN,L30,0.6595061,0.070991464,59.46,US-HF
45,2016,323,T18TYN,L30,0.6371208,0.07156307,63.84,US-HF
46,2017,108,T18TYN,L30,0.42227423,0.094689436,35.53,US-HF
47,2017,124,T18TYN,L30,0.45122072,0.0934598,30.68,US-HF
48,2017,140,T18TYN,L30,0.77763534,0.06485888,27.150000000000002,US-HF
49,2017,165,T18TYN,L30,0.8413967,0.04565094,25.740000000000002,US-HF
50,2017,197,T18TYN,L30,0.86672217,0.03930485,28.150000000000002,US-HF
51,2017,213,T18TYN,L30,0.8615772,0.04405633,30.98,US-HF
52,2017,229,T18TYN,L30,0.88147676,0.03205021,34.681111111111115,US-HF
53,2017,236,T18TYN,L30,0.8840701,0.032382175,35.910000000000004,US-HF
54,2017,245,T18TYN,L30,0.875782,0.03690415,39.17111111111112,US-HF
55,2017,268,T18TYN,L30,0.8561222,0.0445319,46.17,US-HF
56,2017,277,T18TYN,L30,0.88501555,0.041477833,49.74,US-HF
57,2017,293,T18TYN,L30,0.76376605,0.056634042,55.22,US-HF
58,2017,300,T18TYN,L30,0.75024956,0.05804985,57.160000000000004,US-HF
59,2017,316,T18TYN,L30,0.6184914,0.08331137,61.93,US-HF
60,2017,325,T18TYN,L30,0.62628186,0.07851975,64.49,US-HF
61,2017,332,T18TYN,L30,0.63405204,0.07646641,65.60333333333332,US-HF
62,2017,341,T18TYN,L30,0.6453788,0.06979494,67.36,US-HF
63,2018,031,T18TYN,L30,0.57861817,0.068222366,63.24,US-HF
64,2018,095,T18TYN,L30,0.40211144,0.08900178,40.300000000000004,US-HF
65,2018,111,T18TYN,L30,0.39675927,0.089707926,34.63,US-HF
66,2018,127,T18TYN,L30,0.44294482,0.096531406,29.990000000000002,US-HF
67,2018,143,T18TYN,L30,0.8495281,0.04826599,26.78,US-HF
