,year,doy,FAPAR,FAPARstd
0,2002,185,0.8409302325581395,0.05
1,2002,193,0.8548837209302326,0.04813953488372093
2,2002,201,0.7956666666666666,0.03666666666666667
3,2002,209,0.63,0.0696
4,2002,217,0.8392682926829268,0.05609756097560975
5,2002,225,0.8202702702702703,0.058108108108108104
6,2002,233,0.8342499999999999,0.05925
7,2002,241,0.874186046511628,0.047209302325581404
8,2002,249,0.8732558139534884,0.056511627906976745
9,2002,257,0.83475,0.060250000000000005
10,2002,265,0.8714285714285714,0.05095238095238095
11,2002,273,0.8209756097560975,0.06439024390243903
12,2002,281,0.701851851851852,0.054814814814814816
13,2002,289,0.7034375,0.0675
14,2002,297,0.5753658536585367,0.06463414634146342
15,2002,305,0.6248837209302326,0.07023255813953488
16,2002,313,0.3690625,0.0521875
17,2002,321,0.35837209302325584,0.06046511627906977
18,2002,329,0.09,0.0
19,2002,337,0.33153846153846156,0.06076923076923077
20,2002,345,0.40444444444444444,0.06166666666666667
21,2002,353,0.092,0.0
22,2002,361,,
23,2003,001,,
24,2003,009,0.31344827586206897,0.05448275862068965
25,2003,017,0.35208333333333336,0.07041666666666667
26,2003,025,0.42,0.0
27,2003,033,0.37,0.078
28,2003,041,,
29,2003,049,0.2742857142857143,0.08
30,2003,057,0.21875,0.0675
31,2003,065,0.145,0.0
32,2003,073,0.18153846153846154,0.03307692307692307
33,2003,081,0.23523809523809525,0.07880952380952382
34,2003,089,0.3523255813953488,0.06744186046511629
35,2003,097,0.45395348837209304,0.06534883720930233
36,2003,105,0.432093023255814,0.07209302325581396
37,2003,113,0.4723255813953488,0.07046511627906978
38,2003,121,0.4527906976744186,0.06720930232558141
39,2003,129,0.43674418604651166,0.0658139534883721
40,2003,137,0.6062790697674418,0.06906976744186047
41,2003,145,0.6148837209302326,0.07744186046511628
42,2003,153,0.7935714285714286,0.07142857142857144
43,2003,161,0.8342857142857143,0.05690476190476191
44,2003,169,0.8173809523809524,0.05761904761904762
45,2003,177,0.8602380952380952,0.049523809523809526
46,2003,185,0.7984615384615384,0.062051282051282054
47,2003,193,0.8373809523809524,0.05785714285714286
48,2003,201,0.8074193548387096,0.07838709677419355
49,2003,209,0.795813953488372,0.061395348837209304
50,2003,217,0.7865625,0.055
51,2003,225,0.81,0.06116279069767442
52,2003,233,0.8735714285714287,0.05119047619047619
53,2003,241,0.7171428571428571,0.07261904761904762
54,2003,249,0.8727906976744185,0.056976744186046514
55,2003,257,0.8417073170731708,0.059024390243902436
56,2003,265,0.4041176470588236,0.05970588235294118
57,2003,273,0.5820000000000001,0.06625
58,2003,281,0.7483720930232558,0.06976744186046512
59,2003,289,0.5648837209302326,0.060930232558139535
60,2003,297,0.5111627906976745,0.06697674418604652
61,2003,305,0.35916666666666663,0.04527777777777778
62,2003,313,0.5260465116279069,0.07023255813953488
63,2003,321,0.5216279069767442,0.05813953488372093
64,2003,329,0.32130434782608697,0.044782608695652176
65,2003,337,0.4182857142857143,0.06142857142857144
66,2003,345,0.33476190476190476,0.05285714285714286
67,2003,353,0.4136666666666667,0.07200000000000001
68,2003,361,0.4816279069767442,0.06372093023255813
69,2004,001,0.13333333333333333,0.011666666666666667
70,2004,009,0.3845454545454545,0.07333333333333333
71,2004,017,0.26266666666666666,0.062000000000000006
