,year,doy,FAPAR,FAPARstd
0,2000,049,,
1,2000,057,,
2,2000,065,0.17,0.05846153846153846
3,2000,073,0.16083333333333333,0.06333333333333332
4,2000,081,0.09,0.013333333333333332
5,2000,089,0.10875,0.0325
6,2000,097,0.18625,0.01875
7,2000,105,0.12923076923076923,0.05230769230769231
8,2000,113,0.264375,0.081875
9,2000,121,0.35000000000000003,0.07375
10,2000,129,0.353125,0.065
11,2000,137,0.3725,0.068125
12,2000,145,0.353125,0.07125000000000001
13,2000,153,0.5543750000000001,0.07125000000000001
14,2000,161,0.6225,0.07062500000000001
15,2000,169,0.735,0.059375000000000004
16,2000,177,0.568125,0.066875
17,2000,185,0.675625,0.066875
18,2000,193,0.68125,0.065625
19,2000,201,0.508125,0.06375
20,2000,209,0.68375,0.066875
21,2000,217,,
22,2000,225,,
23,2000,233,0.53625,0.06875
24,2000,241,0.569375,0.063125
25,2000,249,0.2988888888888889,0.05333333333333333
26,2000,257,0.470625,0.06625
27,2000,265,0.37875000000000003,0.058750000000000004
28,2000,273,0.409375,0.066875
29,2000,281,,
30,2000,289,,
31,2000,297,,
32,2000,305,,
33,2000,313,,
34,2000,321,,
35,2000,329,,
36,2000,337,,
37,2000,345,,
38,2000,353,,
39,2000,361,,
40,2001,001,,
41,2001,009,,
42,2001,017,,
43,2001,025,,
44,2001,033,,
45,2001,041,,
46,2001,049,,
47,2001,057,,
48,2001,065,0.15083333333333335,0.05333333333333333
49,2001,073,0.1285714285714286,0.043571428571428567
50,2001,081,0.13,0.044000000000000004
51,2001,089,0.08428571428571428,0.01
52,2001,097,0.109,0.027000000000000003
53,2001,105,0.25125000000000003,0.08750000000000001
54,2001,113,0.344375,0.06375
55,2001,121,0.27875,0.0625
56,2001,129,0.36312500000000003,0.065625
57,2001,137,0.3875,0.074375
58,2001,145,0.381875,0.061875
59,2001,153,0.625,0.07
60,2001,161,0.64125,0.0625
61,2001,185,0.5171428571428571,0.06642857142857143
62,2001,193,0.685625,0.065
63,2001,201,0.7273333333333334,0.055999999999999994
64,2001,209,,
65,2001,217,0.528125,0.053125
66,2001,225,0.598125,0.0625
67,2001,233,0.6062500000000001,0.054375
68,2001,241,0.635625,0.0625
69,2001,249,0.5525,0.065625
70,2001,257,0.4875,0.065625
71,2001,265,0.446875,0.0625
72,2001,273,0.27153846153846156,0.02461538461538462
73,2001,281,,
74,2001,289,,
75,2001,297,,
76,2001,305,,
77,2001,313,,
78,2001,321,,
79,2001,329,,
80,2001,337,,
81,2001,345,,
82,2001,353,,
83,2001,361,,
84,2002,001,,
85,2002,089,0.166,0.086
86,2002,097,0.14,0.058571428571428566
87,2002,105,0.11571428571428571,0.045714285714285714
88,2002,113,0.1075,0.043750000000000004
89,2002,121,0.34125,0.06875
90,2002,129,0.315,0.063125
91,2002,137,0.50125,0.065625
92,2002,145,0.546875,0.07125000000000001
93,2002,153,0.6375000000000001,0.06875
94,2002,161,0.62125,0.0675
95,2002,169,0.72,0.060625
96,2002,177,0.593125,0.074375
97,2002,185,0.64875,0.064375
98,2002,193,0.709375,0.061875
99,2002,201,0.675625,0.0725
100,2002,209,0.673125,0.066875
101,2002,217,0.63375,0.065625
102,2002,225,0.5885714285714285,0.05785714285714286
103,2002,233,0.581875,0.056875
104,2002,241,0.486875,0.075
105,2002,249,0.3435714285714285,0.07642857142857143
106,2002,257,0.395,0.065625
107,2002,265,0.434375,0.058125
108,2002,273,0.3425,0.0475
109,2002,281,,
110,2002,289,,
111,2002,297,,
112,2002,305,,
113,2002,313,,
114,2002,321,,
115,2002,329,,
116,2002,337,,
117,2002,345,,
118,2002,353,,
119,2002,361,,
120,2003,001,,
121,2003,009,,
122,2003,017,,
123,2003,025,,
124,2003,033,,
125,2003,041,,
126,2003,049,,
127,2003,057,,
128,2003,065,0.17714285714285716,0.06642857142857143
129,2003,073,0.196,0.08199999999999999
130,2003,081,0.159,0.053
131,2003,089,0.17285714285714285,0.07571428571428572
132,2003,097,0.1625,0.035
133,2003,105,0.27375,0.08750000000000001
134,2003,113,0.35125,0.06375
135,2003,121,0.368125,0.066875
136,2003,129,0.32937500000000003,0.066875
137,2003,137,0.314375,0.0525
138,2003,145,0.515625,0.06875
139,2003,153,0.5425,0.069375
140,2003,161,0.629375,0.07062500000000001
141,2003,169,0.7000000000000001,0.066875
142,2003,177,0.69875,0.055625
143,2003,185,0.666875,0.069375
144,2003,193,0.6925,0.066875
145,2003,201,0.528125,0.064375
146,2003,209,0.68625,0.060625
147,2003,217,0.63375,0.066875
148,2003,225,0.644375,0.0625
149,2003,233,0.591875,0.05375
150,2003,241,0.515625,0.0625
151,2003,249,0.5437500000000001,0.068125
152,2003,257,0.48875,0.060625
153,2003,265,0.413125,0.058125
154,2003,273,0.354375,0.0375
155,2003,281,,
156,2003,289,,
157,2003,297,,
158,2003,305,,
159,2003,313,,
160,2003,321,,
161,2003,329,,
162,2003,337,,
163,2003,345,,
164,2003,353,,
165,2003,361,,
166,2004,001,,
167,2004,009,,
168,2004,017,,
169,2004,025,,
170,2004,033,,
171,2004,041,,
172,2004,049,,
173,2004,057,,
174,2004,065,0.20533333333333337,0.08
175,2004,073,0.174375,0.076875
176,2004,081,0.145,0.055
177,2004,089,0.11142857142857143,0.03571428571428572
178,2004,097,0.20733333333333334,0.07866666666666666
179,2004,105,0.350625,0.06875
180,2004,113,0.30625,0.06375
181,2004,121,0.343125,0.06375
182,2004,129,0.378125,0.06375
183,2004,137,0.24142857142857144,0.06785714285714285
184,2004,145,0.55375,0.065625
185,2004,153,0.635625,0.0675
186,2004,161,0.7025,0.0675
187,2004,169,0.685625,0.06625
188,2004,177,0.725625,0.063125
189,2004,185,0.5700000000000001,0.065625
190,2004,193,0.739375,0.066875
191,2004,201,0.66625,0.059375000000000004
192,2004,209,0.675625,0.066875
193,2004,217,0.655625,0.0725
194,2004,225,0.70625,0.06125
195,2004,233,0.691875,0.06125
196,2004,241,0.6431250000000001,0.07062500000000001
197,2004,249,0.545,0.069375
198,2004,257,0.445625,0.065
199,2004,265,0.20750000000000002,0.106875
200,2004,273,0.268125,0.05
201,2004,281,,
202,2004,289,,
203,2004,297,,
204,2004,305,,
205,2004,313,,
206,2004,321,,
207,2004,329,,
208,2004,337,,
209,2004,345,,
210,2004,353,,
211,2004,361,,
212,2005,001,,
213,2005,009,,
214,2005,017,,
215,2005,025,,
216,2005,033,,
217,2005,041,,
218,2005,049,,
219,2005,057,,
220,2005,065,0.149,0.047
221,2005,073,0.131,0.042
222,2005,081,0.11900000000000001,0.037000000000000005
223,2005,089,0.12,0.04125
224,2005,097,0.1723076923076923,0.08076923076923077
225,2005,105,0.14916666666666667,0.06833333333333333
226,2005,113,0.344375,0.058125
227,2005,121,0.40875,0.065625
228,2005,129,0.49562500000000004,0.06875
229,2005,137,0.5543750000000001,0.07
230,2005,145,0.658125,0.061875
231,2005,153,0.64625,0.07125000000000001
232,2005,161,0.6793750000000001,0.07062500000000001
233,2005,169,0.540625,0.059375000000000004
234,2005,177,0.689375,0.06875
235,2005,185,0.6218750000000001,0.0625
236,2005,193,0.676875,0.07
237,2005,201,0.666875,0.0675
238,2005,209,0.709375,0.0625
239,2005,217,0.61,0.073125
240,2005,225,0.61,0.07125000000000001
241,2005,233,0.5213333333333333,0.06733333333333334
242,2005,241,0.463125,0.075625
243,2005,249,0.29125,0.055625
244,2005,257,0.10333333333333335,0.027777777777777776
245,2005,265,0.20444444444444443,0.08555555555555555
246,2005,273,0.333125,0.0275
247,2005,281,,
248,2005,289,,
249,2005,297,,
250,2005,305,,
251,2005,313,,
252,2005,321,,
253,2005,329,,
254,2005,337,,
255,2005,345,,
256,2005,353,,
257,2005,361,,
258,2006,001,,
259,2006,009,,
260,2006,017,,
261,2006,025,,
262,2006,033,,
263,2006,041,,
264,2006,049,,
265,2006,057,,
266,2006,065,0.10555555555555556,0.021111111111111112
267,2006,073,0.10222222222222221,0.026666666666666665
268,2006,081,0.113,0.027999999999999997
269,2006,089,0.111,0.027999999999999997
270,2006,097,0.08857142857142858,0.011428571428571429
271,2006,105,0.12272727272727274,0.034545454545454546
272,2006,113,0.276875,0.0675
273,2006,121,0.36375,0.065625
274,2006,129,0.34875,0.065
275,2006,137,0.299375,0.08375
276,2006,145,0.47125,0.068125
277,2006,153,0.546875,0.065
278,2006,161,0.513125,0.063125
279,2006,169,0.5113333333333333,0.05666666666666667
280,2006,177,0.5856250000000001,0.07
281,2006,185,0.62625,0.049375
282,2006,193,0.507,0.07
283,2006,201,0.676875,0.068125
284,2006,209,0.62875,0.07062500000000001
285,2006,217,0.5906250000000001,0.066875
286,2006,225,0.237,0.083
287,2006,233,0.54,0.061875
288,2006,241,0.534375,0.059375000000000004
289,2006,249,0.4825,0.060625
290,2006,257,0.4025,0.07
291,2006,265,0.293125,0.03875
292,2006,273,0.32375,0.029375000000000002
293,2006,281,,
294,2006,289,,
295,2006,297,,
296,2006,305,,
297,2006,313,,
298,2006,321,,
299,2006,329,,
300,2006,337,,
301,2006,345,,
302,2006,353,,
303,2006,361,,
304,2007,001,,
305,2007,009,,
306,2007,017,,
307,2007,025,,
308,2007,033,,
309,2007,041,,
310,2007,049,,
311,2007,057,,
312,2007,065,0.12533333333333332,0.03466666666666667
313,2007,073,0.212,0.06666666666666667
314,2007,081,0.13857142857142857,0.051428571428571435
315,2007,089,0.12333333333333334,0.04
316,2007,097,0.284375,0.0825
317,2007,105,0.313125,0.051875000000000004
318,2007,113,0.29625,0.07125000000000001
319,2007,121,0.330625,0.0625
320,2007,129,0.343125,0.06375
321,2007,137,0.40875,0.060625
322,2007,145,0.49875,0.059375000000000004
323,2007,153,0.50625,0.065
324,2007,161,0.619375,0.06375
325,2007,169,0.633125,0.0625
326,2007,177,0.666875,0.060625
327,2007,185,0.596875,0.055625
328,2007,193,0.6218750000000001,0.064375
329,2007,201,0.638125,0.06125
330,2007,209,0.595,0.061875
331,2007,217,0.58125,0.060625
332,2007,225,0.56625,0.065
333,2007,233,0.639375,0.061875
334,2007,241,0.53625,0.055
335,2007,249,0.483125,0.066875
336,2007,257,0.27625,0.078125
337,2007,265,0.34375,0.043750000000000004
338,2007,273,0.3,0.055625
339,2007,281,,
340,2007,289,,
341,2007,297,,
342,2007,305,,
343,2007,313,,
344,2007,321,,
345,2007,329,,
346,2007,337,,
347,2007,345,,
348,2007,353,,
349,2007,361,,
350,2008,001,,
351,2008,009,,
352,2008,017,,
353,2008,025,,
354,2008,033,,
355,2008,041,,
356,2008,049,,
357,2008,057,,
358,2008,065,0.14400000000000002,0.06
359,2008,073,0.13,0.036000000000000004
360,2008,081,0.18937500000000002,0.041875
361,2008,089,0.12357142857142858,0.032857142857142856
362,2008,097,0.09,0.015
363,2008,105,0.08,0.0
364,2008,113,0.14466666666666667,0.078
365,2008,121,0.316875,0.0675
366,2008,129,0.405,0.06625
367,2008,137,0.32625,0.075625
368,2008,145,0.315625,0.07187500000000001
369,2008,153,0.528125,0.07187500000000001
370,2008,161,0.58375,0.063125
371,2008,169,0.5375,0.0675
372,2008,177,0.60875,0.059375000000000004
373,2008,185,0.693125,0.058125
374,2008,193,0.659375,0.05625
375,2008,201,0.6457142857142857,0.05642857142857143
376,2008,209,0.21727272727272728,0.05909090909090909
377,2008,217,0.5233333333333333,0.04733333333333334
378,2008,225,0.62375,0.066875
379,2008,233,0.599375,0.056875
380,2008,241,0.55,0.05375
381,2008,249,0.51,0.060625
382,2008,257,0.08,0.0
383,2008,265,0.3625,0.05
384,2008,273,0.36375,0.061875
385,2008,281,,
386,2008,289,,
387,2008,297,,
388,2008,305,,
389,2008,313,,
390,2008,321,,
391,2008,329,,
392,2008,337,,
393,2008,345,,
394,2008,353,,
395,2008,361,,
396,2009,001,,
397,2009,009,,
398,2009,017,,
399,2009,025,,
400,2009,033,,
401,2009,041,,
402,2009,049,,
403,2009,057,,
404,2009,065,0.10909090909090909,0.025454545454545455
405,2009,073,0.16642857142857143,0.07285714285714286
406,2009,081,0.12727272727272726,0.02909090909090909
407,2009,089,0.1225,0.0425
408,2009,097,0.091,0.021
409,2009,105,0.11538461538461539,0.03307692307692307
410,2009,113,0.22,0.06875
411,2009,121,0.354375,0.061875
412,2009,129,0.345625,0.061875
413,2009,137,0.426875,0.058750000000000004
414,2009,145,0.4575,0.063125
415,2009,153,0.5806250000000001,0.06
416,2009,161,0.655625,0.06
417,2009,169,0.615,0.058750000000000004
418,2009,177,0.6587500000000001,0.05375
419,2009,185,0.669375,0.06375
420,2009,193,0.680625,0.0625
421,2009,201,0.66625,0.056875
422,2009,209,0.6431250000000001,0.05625
423,2009,217,0.39266666666666666,0.062000000000000006
424,2009,225,0.563125,0.055
425,2009,233,0.4875,0.045625
426,2009,241,0.5181250000000001,0.058125
427,2009,249,0.483125,0.0725
428,2009,257,0.39125,0.061875
429,2009,265,0.28125,0.034375
430,2009,273,0.361875,0.053125
431,2009,281,,
432,2009,289,,
433,2009,297,,
434,2009,305,,
435,2009,313,,
436,2009,321,,
437,2009,329,,
438,2009,337,,
439,2009,345,,
440,2009,353,,
441,2009,361,,
442,2010,001,,
443,2010,009,,
444,2010,017,,
445,2010,025,,
446,2010,033,,
447,2010,041,,
448,2010,049,,
449,2010,057,,
450,2010,065,0.22615384615384618,0.04692307692307693
451,2010,073,0.24428571428571427,0.07642857142857143
452,2010,081,0.194375,0.07062500000000001
453,2010,089,0.2525,0.08750000000000001
454,2010,097,0.225625,0.065
455,2010,105,0.33437500000000003,0.060625
456,2010,113,0.28500000000000003,0.0675
457,2010,121,0.325,0.0575
458,2010,129,0.358125,0.060625
459,2010,137,0.478125,0.059375000000000004
460,2010,145,0.546875,0.06
461,2010,153,0.43,0.0425
462,2010,161,0.5175,0.05625
463,2010,169,0.58375,0.063125
464,2010,177,0.528,0.06666666666666667
465,2010,185,0.630625,0.056875
466,2010,193,0.2642857142857143,0.07071428571428572
467,2010,201,0.525,0.046875
468,2010,209,0.589375,0.065
469,2010,217,0.516875,0.054375
470,2010,225,0.5725,0.06
471,2010,233,0.581875,0.065
472,2010,241,0.50375,0.0625
473,2010,249,0.476875,0.045
474,2010,257,0.413125,0.060625
475,2010,265,0.373125,0.050625
476,2010,273,0.3275,0.050625
477,2010,281,,
478,2010,289,,
479,2010,297,,
480,2010,305,,
481,2010,313,,
482,2010,321,,
483,2010,329,,
484,2010,337,,
485,2010,345,,
486,2010,353,,
487,2010,361,,
488,2011,001,,
489,2011,009,,
490,2011,017,,
491,2011,025,,
492,2011,033,,
493,2011,041,,
494,2011,049,,
495,2011,057,,
496,2011,065,0.19375,0.06875
497,2011,073,0.16615384615384618,0.06692307692307693
498,2011,081,0.1323076923076923,0.040769230769230766
499,2011,089,0.12666666666666665,0.05416666666666667
500,2011,097,0.15066666666666667,0.064
501,2011,105,0.18066666666666667,0.06666666666666667
502,2011,113,0.305,0.06625
503,2011,121,0.356875,0.0625
504,2011,129,0.32125,0.051875000000000004
505,2011,137,0.4275,0.058125
506,2011,145,0.541875,0.061875
507,2011,153,0.543125,0.065
508,2011,161,0.566875,0.04875
509,2011,169,0.534375,0.056875
510,2011,177,0.4618181818181818,0.05
511,2011,185,0.665625,0.058125
512,2011,193,0.47500000000000003,0.050625
513,2011,201,0.544375,0.045625
514,2011,209,0.556875,0.054375
515,2011,217,0.445,0.05375
516,2011,225,0.470625,0.058750000000000004
517,2011,233,0.56625,0.06125
518,2011,241,0.56875,0.06
519,2011,249,0.370625,0.046875
520,2011,257,0.43375,0.059375000000000004
521,2011,265,0.356875,0.0475
522,2011,273,0.2764285714285714,0.07642857142857143
523,2011,281,,
524,2011,289,,
525,2011,297,,
526,2011,305,,
527,2011,313,,
528,2011,321,,
529,2011,329,,
530,2011,337,,
531,2011,345,,
532,2011,353,,
533,2011,361,,
534,2012,001,,
535,2012,009,,
536,2012,017,,
537,2012,025,,
538,2012,033,,
539,2012,041,,
540,2012,049,,
541,2012,057,,
542,2012,065,0.08,0.0
543,2012,073,0.22916666666666669,0.03666666666666667
544,2012,081,0.15461538461538463,0.04461538461538462
545,2012,089,0.13142857142857142,0.03071428571428572
546,2012,097,0.15875,0.0425
547,2012,105,0.306875,0.080625
548,2012,113,0.36125,0.054375
549,2012,121,0.354375,0.055625
550,2012,129,0.355625,0.04875
551,2012,137,0.41000000000000003,0.063125
552,2012,145,0.514375,0.06
553,2012,153,0.525625,0.06
554,2012,161,0.640625,0.06375
555,2012,169,0.685625,0.058750000000000004
556,2012,177,0.20538461538461542,0.06307692307692307
557,2012,185,0.666875,0.05625
558,2012,193,0.649375,0.05375
559,2012,201,0.625,0.064375
560,2012,209,0.70125,0.050625
561,2012,217,0.649375,0.058125
562,2012,225,0.65625,0.06
563,2012,233,0.63875,0.060625
564,2012,241,0.5264285714285715,0.047142857142857146
565,2012,249,0.505,0.055625
566,2012,257,0.24625,0.089375
567,2012,265,0.353125,0.03625
568,2012,273,0.406875,0.045625
569,2012,281,,
570,2012,289,,
571,2012,297,,
572,2012,305,,
573,2012,313,,
574,2012,321,,
575,2012,329,,
576,2012,337,,
577,2012,345,,
578,2012,353,,
579,2012,361,,
580,2013,001,,
581,2013,009,,
582,2013,017,,
583,2013,025,,
584,2013,033,,
585,2013,041,,
586,2013,049,,
587,2013,057,,
588,2013,065,0.17250000000000001,0.0725
589,2013,073,0.18533333333333335,0.07533333333333334
590,2013,081,0.09555555555555556,0.016666666666666666
591,2013,089,0.13583333333333333,0.04583333333333333
592,2013,097,0.12833333333333335,0.05666666666666667
593,2013,105,0.106,0.032
594,2013,113,0.12300000000000001,0.061
595,2013,121,0.11599999999999999,0.051
596,2013,129,0.318125,0.069375
597,2013,137,0.36,0.073125
598,2013,145,0.451875,0.063125
599,2013,153,0.2866666666666667,0.0625
600,2013,161,0.5806250000000001,0.06
601,2013,169,0.64375,0.058750000000000004
602,2013,177,0.670625,0.058125
603,2013,185,0.53,0.055384615384615386
604,2013,193,0.681875,0.056875
605,2013,201,0.618125,0.06125
606,2013,209,0.696875,0.056875
607,2013,217,0.66125,0.058125
608,2013,225,0.275,0.087
609,2013,233,0.615625,0.06625
610,2013,241,0.23625000000000002,0.106875
611,2013,249,0.42625,0.069375
612,2013,257,0.4425,0.051875000000000004
613,2013,265,0.43875000000000003,0.04875
614,2013,273,0.286875,0.06125
615,2013,281,,
616,2013,289,,
617,2013,297,,
618,2013,305,,
619,2013,313,,
620,2013,321,,
621,2013,329,,
622,2013,337,,
623,2013,345,,
624,2013,353,,
625,2013,361,,
626,2014,001,,
627,2014,009,,
628,2014,017,,
629,2014,025,,
630,2014,033,,
631,2014,041,,
632,2014,049,,
633,2014,057,,
634,2014,065,0.12363636363636364,0.028181818181818183
635,2014,073,0.1686666666666667,0.06266666666666666
636,2014,081,0.2,0.08800000000000001
637,2014,089,0.16,0.05533333333333333
638,2014,097,0.13923076923076924,0.04461538461538462
639,2014,105,0.2625,0.06625
640,2014,113,0.3425,0.0425
641,2014,121,0.32375,0.07125000000000001
642,2014,129,0.40875,0.058125
643,2014,137,0.436875,0.066875
644,2014,145,0.390625,0.07
645,2014,153,0.516875,0.059375000000000004
646,2014,161,0.578125,0.05625
647,2014,169,0.6118750000000001,0.060625
648,2014,177,0.541875,0.058125
649,2014,185,0.6481250000000001,0.0525
650,2014,193,0.5273333333333333,0.057999999999999996
651,2014,201,0.18333333333333332,0.08333333333333334
652,2014,209,0.5053846153846154,0.04461538461538462
653,2014,217,0.604375,0.069375
654,2014,225,0.52,0.061875
655,2014,233,0.6175,0.0575
656,2014,241,0.514375,0.051250000000000004
657,2014,249,0.525,0.051875000000000004
658,2014,257,0.403125,0.066875
659,2014,265,0.39,0.06625
660,2014,273,0.26066666666666666,0.04133333333333334
661,2014,281,,
662,2014,289,,
663,2014,297,,
664,2014,305,,
665,2014,313,,
666,2014,321,,
667,2014,329,,
668,2014,337,,
669,2014,345,,
670,2014,353,,
671,2014,361,,
672,2015,001,,
673,2015,009,,
674,2015,017,,
675,2015,025,,
676,2015,033,,
677,2015,041,,
678,2015,049,,
679,2015,057,,
680,2015,065,0.09181818181818181,0.00909090909090909
681,2015,073,0.193125,0.0775
682,2015,081,0.18571428571428572,0.06928571428571428
683,2015,089,0.17466666666666666,0.07666666666666667
684,2015,097,0.17125,0.07
685,2015,105,0.32375,0.07625
686,2015,113,0.34625,0.04625
687,2015,121,0.335,0.07125000000000001
688,2015,129,0.4825,0.06875
689,2015,137,0.534375,0.0625
690,2015,145,0.578125,0.066875
691,2015,153,0.613125,0.058750000000000004
692,2015,161,0.59875,0.059375000000000004
693,2015,169,0.644375,0.06375
694,2015,177,0.605625,0.061875
695,2015,185,0.725625,0.0525
696,2015,193,0.62875,0.058125
697,2015,201,0.603125,0.058125
698,2015,209,0.471875,0.051875000000000004
699,2015,217,0.596875,0.055625
700,2015,225,0.500625,0.0575
701,2015,233,0.29600000000000004,0.07133333333333335
702,2015,241,0.52375,0.0575
703,2015,249,0.47500000000000003,0.04875
704,2015,257,0.08800000000000001,0.013999999999999999
705,2015,265,0.378125,0.055625
706,2015,273,0.08,0.0
707,2015,281,,
708,2015,289,,
709,2015,297,,
710,2015,305,,
711,2015,313,,
712,2015,321,,
713,2015,329,,
714,2015,337,,
715,2015,345,,
716,2015,353,,
717,2015,361,,
718,2016,001,,
719,2016,009,,
720,2016,017,,
721,2016,025,,
722,2016,033,,
723,2016,041,,
724,2016,057,,
725,2016,065,0.16375,0.063125
726,2016,073,0.095,0.02
727,2016,081,0.17600000000000002,0.04733333333333334
728,2016,089,0.20750000000000002,0.066875
729,2016,097,0.29125,0.079375
730,2016,105,0.34625,0.055625
731,2016,113,0.356875,0.05625
732,2016,121,0.38375000000000004,0.059375000000000004
733,2016,129,0.463125,0.059375000000000004
734,2016,137,0.541875,0.063125
735,2016,145,0.58125,0.059375000000000004
736,2016,153,0.569375,0.05625
737,2016,161,0.591875,0.058125
738,2016,169,0.65625,0.06
739,2016,177,0.67375,0.06125
740,2016,185,0.6575,0.05625
741,2016,193,0.696875,0.055
742,2016,201,0.596875,0.0625
743,2016,209,0.571875,0.0625
744,2016,217,0.46125,0.041875
745,2016,225,0.5962500000000001,0.055625
746,2016,233,0.595625,0.06375
747,2016,241,0.58625,0.063125
748,2016,249,0.51125,0.051875000000000004
749,2016,257,0.48,0.0625
750,2016,265,0.401875,0.0525
751,2016,273,0.40125,0.046875
752,2016,281,,
753,2016,289,,
754,2016,297,,
755,2016,305,,
756,2016,313,,
757,2016,321,,
758,2016,329,,
759,2016,337,,
760,2016,345,,
761,2016,353,,
762,2016,361,,
763,2017,001,,
764,2017,009,,
765,2017,017,,
766,2017,025,,
767,2017,033,,
768,2017,041,,
769,2017,049,,
770,2017,057,,
771,2017,065,0.14,0.02727272727272727
772,2017,073,0.15846153846153846,0.07
773,2017,081,0.12363636363636364,0.053636363636363635
774,2017,089,0.15642857142857142,0.06714285714285714
775,2017,097,0.135,0.045714285714285714
776,2017,105,0.17466666666666666,0.05666666666666667
777,2017,113,0.3025,0.079375
778,2017,121,0.313125,0.07625
779,2017,129,0.35625,0.061875
780,2017,137,0.451875,0.0575
781,2017,145,0.39357142857142857,0.07
782,2017,153,0.58875,0.061875
783,2017,161,0.65125,0.060625
784,2017,169,0.658125,0.060625
785,2017,177,0.67,0.0525
786,2017,185,0.723125,0.0525
787,2017,193,0.733125,0.051875000000000004
788,2017,201,0.6431250000000001,0.055
789,2017,209,0.63125,0.0625
790,2017,217,0.65125,0.0625
791,2017,225,0.594375,0.044375
792,2017,233,0.59125,0.06375
793,2017,241,0.58375,0.054375
794,2017,249,0.534375,0.065625
795,2017,257,0.416875,0.058125
796,2017,265,0.31375000000000003,0.043125000000000004
797,2017,273,0.425,0.045625
798,2017,281,,
799,2017,289,,
800,2017,297,,
801,2017,305,,
802,2017,313,,
803,2017,321,,
804,2017,329,,
805,2017,337,,
806,2017,345,,
807,2017,353,,
808,2017,361,,
809,2018,001,,
810,2018,009,,
811,2018,017,,
812,2018,025,,
813,2018,033,,
814,2018,041,,
815,2018,049,,
816,2018,057,,
817,2018,065,0.1,0.026666666666666665
818,2018,073,0.13,0.008
819,2018,081,0.13583333333333333,0.020833333333333336
820,2018,089,0.14875,0.043750000000000004
821,2018,097,0.12272727272727274,0.04363636363636363
822,2018,105,0.165,0.06375
823,2018,113,0.166875,0.081875
824,2018,121,0.291875,0.0775
825,2018,129,0.460625,0.060625
826,2018,137,0.40125,0.0575
827,2018,145,0.5,0.0625
828,2018,153,0.70875,0.05625
829,2018,161,0.5579999999999999,0.06066666666666667
830,2018,169,0.584375,0.056875
831,2018,177,0.6637500000000001,0.058750000000000004
832,2018,185,0.691875,0.056875
833,2018,193,0.514,0.06666666666666667
834,2018,201,0.64625,0.060625
835,2018,209,0.58625,0.055625
836,2018,217,0.61125,0.06125
837,2018,225,0.42454545454545456,0.05818181818181818
838,2018,233,0.5293333333333333,0.06
839,2018,241,0.425,0.058571428571428566
840,2018,249,0.533125,0.058125
841,2018,257,0.434375,0.06
842,2018,265,0.35000000000000003,0.030625
843,2018,273,0.43062500000000004,0.044375
844,2018,281,,
845,2018,289,,
846,2018,297,,
847,2018,305,,
848,2018,313,,
849,2018,321,,
850,2018,329,,
851,2018,337,,
852,2018,345,,
853,2018,353,,
854,2018,361,,
855,2019,001,,
856,2019,009,,
857,2019,017,,
858,2019,025,,
859,2019,033,,
860,2019,041,,
861,2019,049,,
862,2019,057,,
863,2019,065,0.15692307692307692,0.04692307692307693
864,2019,073,0.14,0.04
865,2019,081,0.16375,0.050625
866,2019,089,0.24625,0.089375
867,2019,097,0.258125,0.073125
868,2019,105,0.26733333333333337,0.07466666666666667
869,2019,113,0.344375,0.04125
870,2019,121,0.36125,0.063125
871,2019,129,0.418125,0.061875
872,2019,137,0.49625,0.058125
873,2019,145,0.5725,0.059375000000000004
874,2019,153,0.644375,0.0625
875,2019,161,0.7125,0.053125
876,2019,169,0.731875,0.05375
877,2019,177,0.709375,0.051250000000000004
878,2019,185,0.6425,0.053125
879,2019,193,0.688125,0.055625
880,2019,201,0.659375,0.059375000000000004
881,2019,209,0.671875,0.058125
882,2019,217,0.6587500000000001,0.05625
883,2019,225,0.595625,0.05375
884,2019,233,0.58375,0.055625
885,2019,241,0.525625,0.058125
886,2019,249,0.47625,0.058125
887,2019,257,0.47375,0.06
888,2019,265,0.38,0.040625
889,2019,273,0.11363636363636363,0.031818181818181815
890,2019,281,,
891,2019,289,,
892,2019,297,,
893,2019,305,,
894,2019,313,,
895,2019,321,,
896,2019,329,,
897,2019,337,,
898,2019,345,,
