,year,doy,FAPAR,FAPARstd
0,2002,185,0.6125,0.06
1,2002,193,0.663125,0.058750000000000004
2,2002,201,0.5725,0.06375
3,2002,209,0.4325,0.0575
4,2002,217,0.6021428571428572,0.05428571428571429
5,2002,225,0.30727272727272725,0.06636363636363637
6,2002,233,0.564375,0.056875
7,2002,241,0.52875,0.06625
8,2002,249,0.4553333333333333,0.07333333333333333
9,2002,257,0.453125,0.07125000000000001
10,2002,265,0.411875,0.045
11,2002,273,0.34625,0.055
12,2002,281,,
13,2002,289,,
14,2002,297,,
15,2002,305,,
16,2002,313,,
17,2002,321,,
18,2002,329,,
19,2002,337,,
20,2002,345,,
21,2002,353,,
22,2002,361,,
23,2003,001,,
24,2003,009,,
25,2003,017,,
26,2003,025,,
27,2003,033,,
28,2003,041,,
29,2003,049,,
30,2003,057,,
31,2003,065,0.17357142857142857,0.07357142857142857
32,2003,073,0.1746153846153846,0.08
33,2003,081,0.13545454545454547,0.05454545454545454
34,2003,089,0.16,0.0725
35,2003,097,0.17,0.07692307692307693
36,2003,105,0.31625000000000003,0.080625
37,2003,113,0.376875,0.051250000000000004
38,2003,121,0.380625,0.058125
39,2003,129,0.4175,0.068125
40,2003,137,0.411875,0.060625
41,2003,145,0.4875,0.066875
42,2003,153,0.585,0.073125
43,2003,161,0.6525,0.07125000000000001
44,2003,169,0.675625,0.07062500000000001
45,2003,177,0.7175,0.065
46,2003,185,0.7475,0.056875
47,2003,193,0.6637500000000001,0.07
48,2003,201,0.67875,0.06375
49,2003,209,0.600625,0.064375
50,2003,217,0.6625,0.066875
51,2003,225,0.630625,0.06875
52,2003,233,0.62875,0.065625
53,2003,241,0.466,0.04
54,2003,249,0.563125,0.068125
55,2003,257,0.498125,0.064375
56,2003,265,0.45937500000000003,0.06875
57,2003,273,0.34615384615384615,0.06
58,2003,281,,
59,2003,289,,
60,2003,297,,
61,2003,305,,
62,2003,313,,
63,2003,321,,
64,2003,329,,
65,2003,337,,
66,2003,345,,
67,2003,353,,
68,2003,361,,
69,2004,001,,
70,2004,009,,
71,2004,017,,
72,2004,025,,
73,2004,033,,
74,2004,041,,
75,2004,049,,
76,2004,057,,
77,2004,065,0.19142857142857142,0.07285714285714286
78,2004,073,0.1388888888888889,0.052222222222222225
79,2004,081,0.13875,0.07125000000000001
80,2004,089,0.09,0.011428571428571429
81,2004,097,0.224375,0.051875000000000004
82,2004,105,0.26125,0.046875
83,2004,113,0.296875,0.0725
84,2004,121,0.34375,0.06125
85,2004,129,0.3425,0.064375
86,2004,137,0.3838461538461539,0.07153846153846154
87,2004,145,0.56125,0.06625
88,2004,153,0.68375,0.065
89,2004,161,0.6843750000000001,0.0675
90,2004,169,0.7125,0.07187500000000001
91,2004,177,0.71375,0.048125
92,2004,185,0.68,0.07062500000000001
93,2004,193,0.6825,0.066875
94,2004,201,0.664375,0.065
95,2004,209,0.65,0.07625
96,2004,217,0.644375,0.066875
97,2004,225,0.685,0.06875
98,2004,233,0.65375,0.065625
99,2004,241,0.545625,0.0675
100,2004,249,0.51875,0.068125
101,2004,257,0.47750000000000004,0.07125000000000001
102,2004,265,0.17800000000000002,0.07466666666666667
103,2004,273,0.13733333333333334,0.04
104,2004,281,,
105,2004,289,,
106,2004,297,,
107,2004,305,,
108,2004,313,,
109,2004,321,,
110,2004,329,,
111,2004,337,,
112,2004,345,,
113,2004,353,,
114,2004,361,,
115,2005,001,,
116,2005,009,,
117,2005,017,,
118,2005,025,,
119,2005,033,,
120,2005,041,,
121,2005,049,,
122,2005,057,,
123,2005,065,0.12642857142857142,0.038571428571428576
124,2005,073,0.251,0.063
125,2005,081,0.14733333333333332,0.06333333333333332
126,2005,089,0.08857142857142858,0.011428571428571429
127,2005,097,0.16153846153846155,0.07615384615384616
128,2005,105,0.1481818181818182,0.06454545454545454
129,2005,113,0.34375,0.063125
130,2005,121,0.361875,0.07
131,2005,129,0.510625,0.07
132,2005,137,0.438125,0.056875
133,2005,145,0.555625,0.06625
134,2005,153,0.64,0.068125
135,2005,161,0.690625,0.068125
136,2005,169,0.66625,0.06375
137,2005,177,0.714375,0.0625
138,2005,185,0.6384615384615385,0.06384615384615386
139,2005,193,0.6525,0.065625
140,2005,201,0.651875,0.073125
141,2005,209,0.628125,0.07062500000000001
142,2005,217,0.593125,0.073125
143,2005,225,0.605,0.074375
144,2005,233,0.544375,0.07
145,2005,241,0.515,0.068125
146,2005,249,0.34750000000000003,0.051250000000000004
147,2005,257,0.15846153846153846,0.027692307692307693
148,2005,265,0.315,0.05625
149,2005,273,0.311875,0.030625
150,2005,281,,
151,2005,289,,
152,2005,297,,
153,2005,305,,
154,2005,313,,
155,2005,321,,
156,2005,329,,
157,2005,337,,
158,2005,345,,
159,2005,353,,
160,2005,361,,
161,2006,001,,
162,2006,009,,
163,2006,017,,
164,2006,025,,
165,2006,033,,
166,2006,041,,
167,2006,049,,
168,2006,057,,
169,2006,065,0.10142857142857142,0.022857142857142857
170,2006,073,0.15,0.07777777777777778
171,2006,081,0.315,0.04
172,2006,089,0.12714285714285714,0.045
173,2006,097,0.09666666666666666,0.017777777777777778
174,2006,105,0.1325,0.04166666666666667
175,2006,113,0.26937500000000003,0.07875
176,2006,121,0.275625,0.07187500000000001
177,2006,129,0.39,0.065
178,2006,137,0.40625,0.0625
179,2006,145,0.524375,0.07062500000000001
180,2006,153,0.525,0.065625
181,2006,161,0.53625,0.06375
182,2006,169,0.578125,0.06625
183,2006,177,0.3030769230769231,0.0776923076923077
184,2006,185,0.658125,0.07
185,2006,193,0.5375,0.061875
186,2006,201,0.60875,0.063125
187,2006,209,0.511875,0.069375
188,2006,217,0.5775,0.07187500000000001
189,2006,225,0.19111111111111112,0.08222222222222221
190,2006,233,0.556875,0.05375
191,2006,241,0.544375,0.0575
192,2006,249,0.486875,0.06375
193,2006,257,0.378125,0.06
194,2006,265,0.39625,0.058750000000000004
195,2006,273,0.23625000000000002,0.069375
196,2006,281,,
197,2006,289,,
198,2006,297,,
199,2006,305,,
200,2006,313,,
201,2006,321,,
202,2006,329,,
203,2006,337,,
204,2006,345,,
205,2006,353,,
206,2006,361,,
207,2007,001,,
208,2007,009,,
209,2007,017,,
210,2007,025,,
211,2007,033,,
212,2007,041,,
213,2007,049,,
214,2007,057,,
215,2007,065,0.11666666666666667,0.025
216,2007,073,0.15,0.06642857142857143
217,2007,081,0.2246153846153846,0.02846153846153846
218,2007,089,0.09636363636363637,0.016363636363636365
219,2007,097,0.19062500000000002,0.045
220,2007,105,0.3125,0.058750000000000004
221,2007,113,0.33,0.049375
222,2007,121,0.30062500000000003,0.050625
223,2007,129,0.30062500000000003,0.06
224,2007,137,0.42625,0.058750000000000004
225,2007,145,0.511875,0.058750000000000004
226,2007,153,0.505,0.06125
227,2007,161,0.57625,0.058750000000000004
228,2007,169,0.609375,0.066875
229,2007,177,0.6637500000000001,0.06125
230,2007,185,0.6325000000000001,0.06
231,2007,193,0.66,0.056875
232,2007,201,0.6625,0.058750000000000004
233,2007,209,0.576875,0.060625
234,2007,217,0.5825,0.06125
235,2007,225,0.605,0.06125
236,2007,233,0.61,0.05625
237,2007,241,0.54,0.06125
238,2007,249,0.5543750000000001,0.058125
239,2007,257,0.155,0.0725
240,2007,265,0.375625,0.03375
241,2007,273,0.3375,0.056875
242,2007,281,,
243,2007,289,,
244,2007,297,,
245,2007,305,,
246,2007,313,,
247,2007,321,,
248,2007,329,,
249,2007,337,,
250,2007,345,,
251,2007,353,,
252,2007,361,,
253,2008,001,,
254,2008,009,,
255,2008,017,,
256,2008,025,,
257,2008,033,,
258,2008,041,,
259,2008,049,,
260,2008,057,,
261,2008,065,0.15357142857142858,0.055
262,2008,073,0.142,0.04
263,2008,081,0.12461538461538461,0.04692307692307693
264,2008,089,0.09090909090909093,0.00909090909090909
265,2008,097,0.086,0.008
266,2008,105,0.086,0.008
267,2008,113,0.146875,0.074375
268,2008,121,0.31375000000000003,0.069375
269,2008,129,0.320625,0.058750000000000004
270,2008,137,0.3525,0.055625
271,2008,145,0.525625,0.061875
272,2008,153,0.47250000000000003,0.065625
273,2008,161,0.54625,0.0575
274,2008,169,0.69125,0.056875
275,2008,177,0.556875,0.054375
276,2008,185,0.610625,0.066875
277,2008,193,0.649375,0.058750000000000004
278,2008,201,0.3,0.07
279,2008,209,0.16,0.09
280,2008,217,0.48200000000000004,0.07066666666666667
281,2008,225,0.609375,0.058750000000000004
282,2008,233,0.614375,0.058750000000000004
283,2008,241,0.535625,0.055
284,2008,249,0.463125,0.063125
285,2008,257,0.08,0.0
286,2008,265,0.33187500000000003,0.04875
287,2008,273,0.3875,0.055
288,2008,281,,
289,2008,289,,
290,2008,297,,
291,2008,305,,
292,2008,313,,
293,2008,321,,
294,2008,329,,
295,2008,337,,
296,2008,345,,
297,2008,353,,
298,2008,361,,
299,2009,001,,
300,2009,009,,
301,2009,017,,
302,2009,025,,
303,2009,033,,
304,2009,041,,
305,2009,049,,
306,2009,057,,
307,2009,065,0.10777777777777779,0.035555555555555556
308,2009,073,0.135,0.05666666666666667
309,2009,081,0.1975,0.0425
310,2009,089,0.11599999999999999,0.047
311,2009,097,0.09636363636363637,0.01181818181818182
312,2009,105,0.11272727272727273,0.03272727272727273
313,2009,113,0.29125,0.07125000000000001
314,2009,121,0.306875,0.063125
315,2009,129,0.25375000000000003,0.043125000000000004
316,2009,137,0.475625,0.066875
317,2009,145,0.32875,0.06
318,2009,153,0.5337500000000001,0.0625
319,2009,161,0.63375,0.058125
320,2009,169,0.6168750000000001,0.055
321,2009,177,0.5875,0.0575
322,2009,185,0.641875,0.06125
323,2009,193,0.65,0.0625
324,2009,201,0.61875,0.0575
325,2009,209,0.508125,0.050625
326,2009,217,0.578125,0.059375000000000004
327,2009,225,0.48375,0.06
328,2009,233,0.55375,0.05625
329,2009,241,0.4675,0.058750000000000004
330,2009,249,0.478125,0.064375
331,2009,257,0.34750000000000003,0.085
332,2009,265,0.30125,0.043750000000000004
333,2009,273,0.08900000000000001,0.009000000000000001
334,2009,281,,
335,2009,289,,
336,2009,297,,
337,2009,305,,
338,2009,313,,
339,2009,321,,
340,2009,329,,
341,2009,337,,
342,2009,345,,
343,2009,353,,
344,2009,361,,
345,2010,001,,
346,2010,009,,
347,2010,017,,
348,2010,025,,
349,2010,033,,
350,2010,041,,
351,2010,049,,
352,2010,057,,
353,2010,065,0.16928571428571426,0.07
354,2010,073,0.196,0.07866666666666666
355,2010,081,0.18812500000000001,0.0825
356,2010,089,0.253125,0.07875
357,2010,097,0.20875,0.06
358,2010,105,0.273125,0.06625
359,2010,113,0.341875,0.05625
360,2010,121,0.326875,0.06125
361,2010,129,0.294375,0.04625
362,2010,137,0.476875,0.060625
363,2010,145,0.55875,0.059375000000000004
364,2010,153,0.445,0.054375
365,2010,161,0.556875,0.0575
366,2010,169,0.6125,0.063125
367,2010,177,0.41615384615384615,0.05846153846153846
368,2010,185,0.65,0.05625
369,2010,193,0.5571428571428572,0.058571428571428566
370,2010,201,0.562,0.05466666666666667
371,2010,209,0.59,0.061875
372,2010,217,0.464375,0.046875
373,2010,225,0.58875,0.06
374,2010,233,0.52125,0.051875000000000004
375,2010,241,0.564375,0.06
376,2010,249,0.429375,0.06
377,2010,257,0.436875,0.051875000000000004
378,2010,265,0.385625,0.045625
379,2010,273,0.19125,0.0375
380,2010,281,,
381,2010,289,,
382,2010,297,,
383,2010,305,,
384,2010,313,,
385,2010,321,,
386,2010,329,,
387,2010,337,,
388,2010,345,,
389,2010,353,,
390,2010,361,,
391,2011,001,,
392,2011,009,,
393,2011,017,,
394,2011,025,,
395,2011,033,,
396,2011,041,,
397,2011,049,,
