,year,doy,FAPAR,FAPARstd
0,2014,10,,
1,2014,20,,
2,2014,31,,
3,2014,41,,
4,2014,51,,
5,2014,59,0.3218461538461539,0.13066666666666665
6,2014,69,0.3688979591836735,0.06016326530612245
7,2014,79,0.3701224489795918,0.05436734693877551
8,2014,90,0.35077551020408165,0.05502040816326531
9,2014,100,0.31820408163265307,0.05714285714285715
10,2014,110,0.31159183673469387,0.06277551020408163
11,2014,120,0.3683265306122449,0.08171428571428571
12,2014,130,0.43910204081632653,0.08563265306122449
13,2014,140,0.4635,0.12108333333333333
14,2014,151,0.49764102564102564,0.14123076923076922
15,2014,161,0.5550967741935484,0.15561290322580645
16,2014,171,0.5612,0.16340000000000002
17,2014,181,0.5581818181818181,0.1650909090909091
18,2014,191,0.5551111111111111,0.1648888888888889
19,2014,201,0.54675,0.1665
20,2014,212,0.5697142857142856,0.16228571428571428
21,2014,222,0.6113939393939394,0.14642424242424243
22,2014,232,0.6228292682926829,0.1370731707317073
23,2014,243,0.5859555555555556,0.12355555555555556
24,2014,253,0.5145833333333334,0.10308333333333333
25,2014,263,0.45559183673469383,0.08710204081632654
26,2014,273,0.472,0.07436734693877552
27,2014,283,0.6405714285714286,0.172
28,2014,293,,
29,2014,304,,
30,2014,314,,
31,2014,324,,
32,2014,334,,
33,2014,344,,
34,2014,354,,
35,2014,365,,
36,2015,10,,
37,2015,20,,
38,2015,31,,
39,2015,41,,
40,2015,51,,
41,2015,59,0.11066666666666668,0.17866666666666667
42,2015,69,0.3195918367346939,0.06604081632653061
43,2015,79,0.34922448979591836,0.054693877551020405
44,2015,90,0.3231020408163265,0.06
45,2015,100,0.2977142857142857,0.06408163265306122
46,2015,110,0.3462040816326531,0.07020408163265306
47,2015,120,0.40383673469387754,0.08408163265306122
48,2015,130,0.4572244897959184,0.10563265306122449
49,2015,140,0.5191111111111111,0.1328888888888889
50,2015,151,0.5425555555555556,0.15155555555555555
51,2015,161,0.57075,0.1605
52,2015,171,0.5784,0.1628
53,2015,181,0.6152000000000001,0.1696
54,2015,191,0.6167999999999999,0.1648
55,2015,201,0.5942857142857143,0.16514285714285715
56,2015,212,0.5783333333333334,0.16433333333333333
57,2015,222,0.56128,0.14976
58,2015,232,0.5686,0.1465
59,2015,243,0.5452222222222222,0.1398888888888889
60,2015,253,0.5238222222222222,0.11359999999999999
61,2015,263,0.4787619047619048,0.12285714285714286
62,2015,273,0.376,0.132
63,2015,283,,
64,2015,293,,
65,2015,304,,
66,2015,314,,
67,2015,324,,
68,2015,334,,
69,2015,344,,
70,2015,354,,
71,2015,365,,
72,2016,10,,
73,2016,20,,
74,2016,31,,
75,2016,41,,
76,2016,51,,
77,2016,60,0.2761777777777778,0.13342222222222222
78,2016,70,0.32285714285714284,0.07640816326530613
79,2016,80,0.3238367346938775,0.06514285714285714
80,2016,91,0.30759183673469387,0.061551020408163265
81,2016,101,0.3016326530612245,0.06612244897959184
82,2016,111,0.33983673469387754,0.07167346938775511
83,2016,121,0.4120816326530612,0.07640816326530613
84,2016,131,0.4724255319148936,0.10902127659574468
85,2016,141,0.5378536585365854,0.13717073170731706
86,2016,152,0.5422222222222222,0.15777777777777777
87,2016,162,0.5812307692307693,0.16523076923076924
88,2016,172,0.6152000000000001,0.1768
89,2016,182,0.628,0.182
90,2016,192,0.6388571428571429,0.17085714285714287
