,year,doy,FAPAR,FAPARstd
0,2012,017,,
1,2012,025,,
2,2012,033,,
3,2012,041,,
4,2012,049,,
5,2012,057,,
6,2012,065,0.08888888888888889,0.008888888888888889
7,2012,073,0.111,0.04
8,2012,081,0.12636363636363637,0.04454545454545454
9,2012,089,0.15642857142857142,0.05714285714285715
10,2012,097,0.138,0.038
11,2012,105,0.295625,0.07062500000000001
12,2012,113,0.36062500000000003,0.06125
13,2012,121,0.38875,0.0525
14,2012,129,0.353125,0.051875000000000004
15,2012,137,0.429375,0.0525
16,2012,145,0.50375,0.0575
17,2012,153,0.6025,0.056875
18,2012,161,0.606875,0.0525
19,2012,169,0.6743750000000001,0.05375
20,2012,177,0.7020000000000001,0.05533333333333333
21,2012,185,0.719375,0.049375
22,2012,193,0.675625,0.0625
23,2012,201,0.633125,0.050625
24,2012,209,0.65375,0.055625
25,2012,217,0.658125,0.053125
26,2012,225,0.581875,0.058750000000000004
27,2012,233,0.5593750000000001,0.050625
28,2012,241,0.5373333333333333,0.055999999999999994
29,2012,249,0.496875,0.048125
30,2012,257,0.444375,0.051875000000000004
31,2012,265,0.418125,0.04125
32,2012,273,0.33125,0.02875
33,2012,281,,
34,2012,289,,
35,2012,297,,
36,2012,305,,
37,2012,313,,
38,2012,321,,
39,2012,329,,
40,2012,337,,
41,2012,345,,
42,2012,353,,
43,2012,361,,
44,2013,001,,
45,2013,009,,
46,2013,017,,
47,2013,025,,
48,2013,033,,
49,2013,041,,
50,2013,049,,
51,2013,057,,
52,2013,065,0.18214285714285716,0.06
53,2013,073,0.196875,0.0625
54,2013,081,0.13714285714285715,0.06857142857142857
55,2013,089,0.129,0.064
56,2013,097,0.095,0.02
57,2013,105,0.136,0.057
58,2013,113,0.14454545454545456,0.06545454545454546
59,2013,121,0.136,0.06
60,2013,129,0.27187500000000003,0.069375
61,2013,137,0.361875,0.055
62,2013,145,0.49,0.058125
63,2013,153,0.57625,0.060625
64,2013,161,0.625625,0.061875
65,2013,169,0.664375,0.0525
66,2013,177,0.724375,0.0475
67,2013,185,0.5633333333333334,0.04833333333333333
68,2013,193,0.6675,0.054375
69,2013,201,0.60375,0.059375000000000004
70,2013,209,0.67125,0.05
71,2013,217,0.625,0.054375
72,2013,225,0.5342857142857144,0.05357142857142857
73,2013,233,0.638125,0.05
74,2013,241,0.2,0.1
75,2013,249,0.38375000000000004,0.026875
76,2013,257,0.475625,0.043750000000000004
77,2013,265,0.46125,0.06625
78,2013,273,0.26625,0.0625
79,2013,281,,
80,2013,289,,
81,2013,297,,
82,2013,305,,
83,2013,313,,
84,2013,321,,
85,2013,329,,
86,2013,337,,
87,2013,345,,
88,2013,353,,
89,2013,361,,
90,2014,001,,
91,2014,009,,
92,2014,017,,
93,2014,025,,
94,2014,033,,
95,2014,041,,
96,2014,049,,
97,2014,057,,
98,2014,065,0.17375000000000002,0.068125
99,2014,073,0.215,0.0775
100,2014,081,0.16692307692307692,0.06846153846153846
101,2014,089,0.18600000000000003,0.07066666666666667
102,2014,097,0.1775,0.055
103,2014,105,0.256875,0.08875
104,2014,113,0.35625,0.058750000000000004
105,2014,121,0.373125,0.0475
106,2014,129,0.446875,0.06
107,2014,137,0.491875,0.0625
108,2014,145,0.38375000000000004,0.040625
109,2014,153,0.524375,0.048125
110,2014,161,0.4975,0.051875000000000004
111,2014,169,0.5181250000000001,0.06
112,2014,177,0.3125,0.0225
113,2014,185,0.5386666666666667,0.05
114,2014,193,0.5973333333333334,0.04533333333333333
115,2014,201,0.15,0.08
116,2014,209,0.526875,0.049375
117,2014,217,0.591875,0.05625
118,2014,225,0.52875,0.04875
119,2014,233,0.564375,0.04625
120,2014,241,0.49875,0.04875
121,2014,249,0.543125,0.05
