,Year,DOY,L30FAPAR,site,sensor
0,2013,196,0.9368366,CA-TP4,L30
1,2013,260,0.9474581,CA-TP4,L30
2,2013,324,0.8905286,CA-TP4,L30
3,2014,151,0.90942603,CA-TP4,L30
4,2014,231,0.9422992,CA-TP4,L30
5,2014,247,0.94427025,CA-TP4,L30
6,2015,154,0.90936625,CA-TP4,L30
7,2015,202,0.9409359,CA-TP4,L30
8,2015,250,0.9367699,CA-TP4,L30
9,2015,266,0.9435164,CA-TP4,L30
10,2016,77,0.84435505,CA-TP4,L30
11,2016,109,0.8063798,CA-TP4,L30
12,2016,141,0.86259085,CA-TP4,L30
13,2016,173,0.9304786,CA-TP4,L30
14,2016,205,0.9364582,CA-TP4,L30
15,2016,221,0.938039,CA-TP4,L30
16,2016,237,0.94081175,CA-TP4,L30
17,2016,317,0.8927562,CA-TP4,L30
18,2017,143,0.88221514,CA-TP4,L30
19,2017,335,0.907058,CA-TP4,L30
20,2018,162,0.92533207,CA-TP4,L30
21,2019,85,0.82528394,CA-TP4,L30
22,2019,165,0.9235932,CA-TP4,L30
23,2019,181,0.9365469,CA-TP4,L30
24,2019,213,0.93612313,CA-TP4,L30
25,2019,261,0.9405162,CA-TP4,L30
26,2019,293,0.9186843,CA-TP4,L30
27,2020,168,0.9263976,CA-TP4,L30
28,2020,184,0.92876315,CA-TP4,L30
29,2020,200,0.93368393,CA-TP4,L30
30,2020,264,0.93857247,CA-TP4,L30
31,2016,118,0.81281424,CA-TP4,S30
32,2016,148,0.9006664,CA-TP4,S30
33,2016,268,0.9441347,CA-TP4,S30
34,2017,82,0.82556164,CA-TP4,S30
35,2017,162,0.91809106,CA-TP4,S30
36,2017,267,0.93519217,CA-TP4,S30
37,2018,57,0.8644891,CA-TP4,S30
38,2018,92,0.8146331,CA-TP4,S30
39,2018,112,0.8078703,CA-TP4,S30
40,2018,127,0.8057721,CA-TP4,S30
41,2018,137,0.8603946,CA-TP4,S30
42,2018,162,0.9224654,CA-TP4,S30
43,2018,177,0.9261071,CA-TP4,S30
44,2018,182,0.9244677,CA-TP4,S30
45,2018,187,0.9317461,CA-TP4,S30
46,2018,272,0.9460956,CA-TP4,S30
47,2018,277,0.942942,CA-TP4,S30
48,2018,282,0.9391479,CA-TP4,S30
49,2018,327,0.8942665,CA-TP4,S30
50,2018,352,0.90481865,CA-TP4,S30
51,2019,82,0.8309658,CA-TP4,S30
52,2019,147,0.9011812,CA-TP4,S30
53,2019,192,0.931675,CA-TP4,S30
54,2019,282,0.9383553,CA-TP4,S30
55,2020,92,0.83298296,CA-TP4,S30
56,2020,97,0.82172173,CA-TP4,S30
57,2020,142,0.87051004,CA-TP4,S30
58,2020,147,0.8938905,CA-TP4,S30
59,2020,167,0.9257149,CA-TP4,S30
60,2020,172,0.92630756,CA-TP4,S30
61,2020,177,0.93081176,CA-TP4,S30
62,2020,182,0.93071586,CA-TP4,S30
63,2020,227,0.93805337,CA-TP4,S30
64,2020,262,0.9419567,CA-TP4,S30
65,2020,287,0.9275335,CA-TP4,S30
66,2020,317,0.89687747,CA-TP4,S30
67,2020,342,0.90226245,CA-TP4,S30
