,Year,DOY,L30FAPAR,site,sensor
0,2013,116,0.39735293,CA-TPD,L30
1,2013,260,0.9489281,CA-TPD,L30
2,2013,324,0.5933291,CA-TPD,L30
3,2014,151,0.86043745,CA-TPD,L30
4,2014,247,0.9278277,CA-TPD,L30
5,2015,154,0.8716073,CA-TPD,L30
6,2015,202,0.941484,CA-TPD,L30
7,2015,250,0.9026596,CA-TPD,L30
8,2015,266,0.93029165,CA-TPD,L30
9,2016,77,0.490304,CA-TPD,L30
10,2016,109,0.40050268,CA-TPD,L30
11,2016,141,0.747143,CA-TPD,L30
12,2016,173,0.9411058,CA-TPD,L30
13,2016,189,0.9154343,CA-TPD,L30
14,2016,205,0.9007328,CA-TPD,L30
15,2016,221,0.94251907,CA-TPD,L30
16,2016,237,0.9279647,CA-TPD,L30
17,2017,143,0.7692061,CA-TPD,L30
18,2017,175,0.9414875,CA-TPD,L30
19,2017,335,0.68976545,CA-TPD,L30
20,2018,162,0.92179567,CA-TPD,L30
21,2019,85,0.44411272,CA-TPD,L30
22,2019,165,0.9234588,CA-TPD,L30
23,2019,181,0.94707614,CA-TPD,L30
24,2019,213,0.92689013,CA-TPD,L30
25,2019,261,0.9259388,CA-TPD,L30
26,2020,168,0.91659635,CA-TPD,L30
27,2020,184,0.9131448,CA-TPD,L30
28,2020,200,0.92355675,CA-TPD,L30
29,2020,264,0.93669146,CA-TPD,L30
30,2016,118,0.42528164,CA-TPD,S30
31,2016,148,0.8385753,CA-TPD,S30
32,2016,248,0.9372391,CA-TPD,S30
33,2016,268,0.9519369,CA-TPD,S30
34,2016,288,0.8984406,CA-TPD,S30
35,2017,82,0.3731795,CA-TPD,S30
36,2017,162,0.91338396,CA-TPD,S30
37,2017,267,0.9112612,CA-TPD,S30
38,2018,57,0.5674348,CA-TPD,S30
39,2018,92,0.4194132,CA-TPD,S30
40,2018,127,0.44661918,CA-TPD,S30
41,2018,137,0.70949954,CA-TPD,S30
42,2018,162,0.92807305,CA-TPD,S30
43,2018,177,0.7991281,CA-TPD,S30
44,2018,182,0.91067785,CA-TPD,S30
45,2018,187,0.9498215,CA-TPD,S30
46,2018,272,0.94585127,CA-TPD,S30
47,2018,277,0.92221475,CA-TPD,S30
48,2018,282,0.89680064,CA-TPD,S30
49,2018,327,0.58817595,CA-TPD,S30
50,2018,352,0.6811837,CA-TPD,S30
51,2019,82,0.444606,CA-TPD,S30
52,2019,122,0.4460342,CA-TPD,S30
53,2019,147,0.8473897,CA-TPD,S30
54,2019,162,0.9294874,CA-TPD,S30
55,2019,192,0.91864157,CA-TPD,S30
56,2019,282,0.904991,CA-TPD,S30
57,2020,92,0.452129,CA-TPD,S30
58,2020,97,0.42253754,CA-TPD,S30
59,2020,127,0.45678017,CA-TPD,S30
60,2020,142,0.7713849,CA-TPD,S30
61,2020,147,0.8376096,CA-TPD,S30
62,2020,167,0.91846025,CA-TPD,S30
63,2020,172,0.9313576,CA-TPD,S30
64,2020,177,0.9270978,CA-TPD,S30
65,2020,182,0.93820536,CA-TPD,S30
66,2020,187,0.8162929,CA-TPD,S30
67,2020,197,0.8888078,CA-TPD,S30
68,2020,227,0.930744,CA-TPD,S30
69,2020,262,0.9439476,CA-TPD,S30
70,2020,267,0.91873455,CA-TPD,S30
71,2020,287,0.7791286,CA-TPD,S30
72,2020,317,0.5836658,CA-TPD,S30
73,2020,342,0.617896,CA-TPD,S30
