,Year,DOY,L30FAPAR,site,sensor
0,2013,273,0.91625345,US-Bar,L30
1,2013,282,0.8886516,US-Bar,L30
2,2014,237,0.93921316,US-Bar,L30
3,2014,253,0.9397985,US-Bar,L30
4,2014,276,0.8961157,US-Bar,L30
5,2014,285,0.86805934,US-Bar,L30
6,2015,215,0.9390016,US-Bar,L30
7,2015,240,0.94054997,US-Bar,L30
8,2015,247,0.9305425,US-Bar,L30
9,2015,279,0.9334823,US-Bar,L30
10,2015,288,0.86268127,US-Bar,L30
11,2015,304,0.86126876,US-Bar,L30
12,2015,320,0.88080865,US-Bar,L30
13,2015,327,0.8871583,US-Bar,L30
14,2016,90,0.78623176,US-Bar,L30
15,2016,106,0.7991816,US-Bar,L30
16,2016,131,0.78396845,US-Bar,L30
17,2016,147,0.92030656,US-Bar,L30
18,2016,170,0.93730235,US-Bar,L30
19,2016,186,0.9415981,US-Bar,L30
20,2016,195,0.9369153,US-Bar,L30
21,2016,218,0.9334934,US-Bar,L30
22,2016,259,0.9440006,US-Bar,L30
23,2016,266,0.94130707,US-Bar,L30
24,2016,291,0.8493714,US-Bar,L30
25,2016,323,0.88776165,US-Bar,L30
26,2017,140,0.8923781,US-Bar,L30
27,2017,165,0.9358758,US-Bar,L30
28,2017,213,0.9353405,US-Bar,L30
29,2017,245,0.9374573,US-Bar,L30
30,2017,277,0.9166267,US-Bar,L30
31,2017,284,0.8900961,US-Bar,L30
32,2017,293,0.8601057,US-Bar,L30
33,2017,300,0.87416726,US-Bar,L30
34,2018,127,0.78833616,US-Bar,L30
35,2018,143,0.91546047,US-Bar,L30
36,2018,168,0.9306223,US-Bar,L30
37,2018,191,0.93738365,US-Bar,L30
38,2018,200,0.9387755,US-Bar,L30
39,2018,239,0.93864655,US-Bar,L30
40,2018,248,0.9415698,US-Bar,L30
41,2019,178,0.93452835,US-Bar,L30
42,2019,194,0.93968505,US-Bar,L30
43,2019,242,0.93588173,US-Bar,L30
44,2019,258,0.93880105,US-Bar,L30
45,2019,306,0.8841057,US-Bar,L30
46,2020,142,0.845394,US-Bar,L30
47,2020,334,0.8953964,US-Bar,L30
48,2013,273,0.91635185,US-Bar,L30
49,2013,282,0.8885699,US-Bar,L30
50,2014,237,0.939233,US-Bar,L30
51,2014,253,0.93974835,US-Bar,L30
52,2014,276,0.896182,US-Bar,L30
53,2014,285,0.86799234,US-Bar,L30
54,2015,215,0.93898475,US-Bar,L30
55,2015,240,0.94042146,US-Bar,L30
56,2015,247,0.93046254,US-Bar,L30
57,2015,279,0.93355,US-Bar,L30
58,2015,288,0.8629378,US-Bar,L30
59,2015,304,0.86099553,US-Bar,L30
60,2015,320,0.8805176,US-Bar,L30
61,2015,327,0.8867806,US-Bar,L30
62,2016,90,0.78634983,US-Bar,L30
63,2016,106,0.7992849,US-Bar,L30
64,2016,131,0.78442377,US-Bar,L30
65,2016,147,0.9204452,US-Bar,L30
66,2016,170,0.9372306,US-Bar,L30
67,2016,186,0.94147605,US-Bar,L30
68,2016,195,0.93680453,US-Bar,L30
69,2016,218,0.9334263,US-Bar,L30
70,2016,259,0.9439238,US-Bar,L30
71,2016,266,0.9412741,US-Bar,L30
72,2016,291,0.84956163,US-Bar,L30
73,2016,323,0.8875618,US-Bar,L30
74,2017,140,0.8922908,US-Bar,L30
75,2017,165,0.935909,US-Bar,L30
76,2017,213,0.93528897,US-Bar,L30
77,2017,245,0.9374086,US-Bar,L30
78,2017,277,0.9165245,US-Bar,L30
79,2017,284,0.8902283,US-Bar,L30
80,2017,293,0.86023086,US-Bar,L30
81,2017,300,0.8737865,US-Bar,L30
82,2018,127,0.7882566,US-Bar,L30
83,2018,143,0.915361,US-Bar,L30
84,2018,168,0.9306793,US-Bar,L30
85,2018,191,0.93744403,US-Bar,L30
86,2018,200,0.93906146,US-Bar,L30
87,2018,239,0.93857485,US-Bar,L30
88,2018,248,0.9416702,US-Bar,L30
89,2019,178,0.93474835,US-Bar,L30
90,2019,194,0.9397033,US-Bar,L30
91,2019,242,0.9359359,US-Bar,L30
92,2019,258,0.93883914,US-Bar,L30
93,2019,306,0.8837825,US-Bar,L30
94,2020,142,0.84562325,US-Bar,L30
95,2020,334,0.8952346,US-Bar,L30
96,2016,289,0.87868094,US-Bar,S30
97,2016,319,0.8867996,US-Bar,S30
98,2017,283,0.90963626,US-Bar,S30
99,2018,128,0.81172884,US-Bar,S30
100,2018,133,0.85958785,US-Bar,S30
101,2018,143,0.9203991,US-Bar,S30
102,2018,168,0.9339234,US-Bar,S30
103,2018,173,0.93995273,US-Bar,S30
104,2018,188,0.94128054,US-Bar,S30
105,2018,218,0.9377039,US-Bar,S30
106,2018,238,0.94008124,US-Bar,S30
107,2018,248,0.9422457,US-Bar,S30
108,2018,278,0.9242218,US-Bar,S30
109,2019,128,0.7806982,US-Bar,S30
110,2019,158,0.9283724,US-Bar,S30
111,2019,163,0.9339638,US-Bar,S30
112,2019,168,0.9329935,US-Bar,S30
113,2019,188,0.9402162,US-Bar,S30
114,2019,213,0.9374533,US-Bar,S30
115,2019,218,0.9366176,US-Bar,S30
116,2019,238,0.93908423,US-Bar,S30
117,2019,248,0.9455311,US-Bar,S30
118,2019,263,0.9347744,US-Bar,S30
119,2019,278,0.92694926,US-Bar,S30
120,2019,288,0.84500235,US-Bar,S30
121,2019,308,0.87799764,US-Bar,S30
122,2020,123,0.78056777,US-Bar,S30
123,2020,128,0.7813555,US-Bar,S30
124,2020,143,0.87096184,US-Bar,S30
125,2020,168,0.9308958,US-Bar,S30
126,2020,233,0.9415577,US-Bar,S30
127,2020,248,0.9419431,US-Bar,S30
128,2020,253,0.9363248,US-Bar,S30
129,2020,263,0.9376447,US-Bar,S30
130,2020,283,0.8903962,US-Bar,S30
131,2020,288,0.86404526,US-Bar,S30
132,2016,289,0.8852451,US-Bar,S30
133,2016,319,0.8847331,US-Bar,S30
134,2017,283,0.91341656,US-Bar,S30
135,2018,128,0.81034696,US-Bar,S30
136,2018,133,0.85793847,US-Bar,S30
137,2018,143,0.9201928,US-Bar,S30
138,2018,168,0.9335669,US-Bar,S30
139,2018,173,0.9393866,US-Bar,S30
140,2018,188,0.9405923,US-Bar,S30
141,2018,218,0.9380774,US-Bar,S30
142,2018,238,0.94178516,US-Bar,S30
143,2018,248,0.94270736,US-Bar,S30
144,2018,278,0.9226247,US-Bar,S30
145,2019,128,0.77987057,US-Bar,S30
146,2019,158,0.927526,US-Bar,S30
147,2019,163,0.93331754,US-Bar,S30
148,2019,168,0.9323616,US-Bar,S30
149,2019,188,0.9395687,US-Bar,S30
150,2019,213,0.9367176,US-Bar,S30
151,2019,218,0.93580085,US-Bar,S30
152,2019,238,0.9379847,US-Bar,S30
153,2019,248,0.94366074,US-Bar,S30
154,2019,263,0.9351136,US-Bar,S30
155,2019,278,0.9251418,US-Bar,S30
156,2019,288,0.85349387,US-Bar,S30
157,2019,308,0.8785158,US-Bar,S30
158,2020,123,0.779397,US-Bar,S30
159,2020,128,0.78197026,US-Bar,S30
160,2020,143,0.8702989,US-Bar,S30
161,2020,168,0.9303544,US-Bar,S30
162,2020,233,0.9401449,US-Bar,S30
163,2020,248,0.94064665,US-Bar,S30
164,2020,253,0.9376928,US-Bar,S30
165,2020,263,0.93652797,US-Bar,S30
166,2020,283,0.8904069,US-Bar,S30
167,2020,288,0.8711631,US-Bar,S30
