,Year,DOY,L30FAPAR,site,sensor
0,2013,106,0.5480649,US-HF,L30
1,2013,122,0.5711047,US-HF,L30
2,2013,250,0.9091204,US-HF,L30
3,2013,266,0.90166587,US-HF,L30
4,2014,100,0.58004415,US-HF,L30
5,2014,132,0.57688457,US-HF,L30
6,2014,141,0.73415595,US-HF,L30
7,2014,221,0.9083665,US-HF,L30
8,2014,237,0.91043085,US-HF,L30
9,2014,276,0.80164605,US-HF,L30
10,2014,285,0.75724345,US-HF,L30
11,2015,144,0.80792326,US-HF,L30
12,2015,192,0.90442526,US-HF,L30
13,2015,215,0.91376764,US-HF,L30
14,2015,263,0.92641735,US-HF,L30
15,2015,279,0.8339605,US-HF,L30
16,2015,288,0.7157912,US-HF,L30
17,2015,304,0.66062224,US-HF,L30
18,2015,320,0.7108303,US-HF,L30
19,2015,327,0.7507454,US-HF,L30
20,2016,58,0.63622624,US-HF,L30
21,2016,90,0.529938,US-HF,L30
22,2016,106,0.55790395,US-HF,L30
23,2016,115,0.5542319,US-HF,L30
24,2016,170,0.9137825,US-HF,L30
25,2016,186,0.916301,US-HF,L30
26,2016,195,0.8901105,US-HF,L30
27,2016,202,0.89764565,US-HF,L30
28,2016,218,0.9121213,US-HF,L30
29,2016,266,0.91427577,US-HF,L30
30,2016,307,0.6774353,US-HF,L30
31,2016,323,0.712236,US-HF,L30
32,2017,108,0.56336457,US-HF,L30
33,2017,124,0.5702479,US-HF,L30
34,2017,140,0.8292214,US-HF,L30
35,2017,165,0.8490311,US-HF,L30
36,2017,229,0.9094771,US-HF,L30
37,2017,236,0.9027634,US-HF,L30
38,2017,245,0.9061485,US-HF,L30
39,2017,268,0.8858788,US-HF,L30
40,2017,277,0.88190335,US-HF,L30
41,2017,293,0.7548722,US-HF,L30
42,2017,300,0.7412148,US-HF,L30
43,2017,316,0.6951072,US-HF,L30
44,2017,325,0.7132588,US-HF,L30
45,2017,332,0.7287228,US-HF,L30
46,2018,31,0.669372,US-HF,L30
47,2018,95,0.5625785,US-HF,L30
48,2018,111,0.5549909,US-HF,L30
49,2018,127,0.5679956,US-HF,L30
50,2018,143,0.86950296,US-HF,L30
51,2018,168,0.89367414,US-HF,L30
52,2018,184,0.9003632,US-HF,L30
53,2018,191,0.9053541,US-HF,L30
54,2018,248,0.9170874,US-HF,L30
55,2018,287,0.78667307,US-HF,L30
56,2019,107,0.55142325,US-HF,L30
57,2019,242,0.9118995,US-HF,L30
58,2019,258,0.9146422,US-HF,L30
59,2019,306,0.72019374,US-HF,L30
60,2020,69,0.55655324,US-HF,L30
61,2020,78,0.5613218,US-HF,L30
62,2020,126,0.54181397,US-HF,L30
63,2020,142,0.6709349,US-HF,L30
64,2020,174,0.88715804,US-HF,L30
65,2020,334,0.7200357,US-HF,L30
66,2016,79,0.58646345,US-HF,S30
67,2016,149,0.8729786,US-HF,S30
68,2016,269,0.9294398,US-HF,S30
69,2016,319,0.68245965,US-HF,S30
70,2017,183,0.92320746,US-HF,S30
71,2018,113,0.5272431,US-HF,S30
72,2018,143,0.87865776,US-HF,S30
73,2018,168,0.9108551,US-HF,S30
74,2018,188,0.92137724,US-HF,S30
75,2018,193,0.9230479,US-HF,S30
76,2018,208,0.9114496,US-HF,S30
77,2018,218,0.91902256,US-HF,S30
78,2018,238,0.9238928,US-HF,S30
79,2018,248,0.9234705,US-HF,S30
80,2018,308,0.6943078,US-HF,S30
81,2019,93,0.5545697,US-HF,S30
82,2019,158,0.91840434,US-HF,S30
83,2019,213,0.91274315,US-HF,S30
84,2019,238,0.9213207,US-HF,S30
85,2019,263,0.9107231,US-HF,S30
86,2019,278,0.8601135,US-HF,S30
87,2019,288,0.735041,US-HF,S30
88,2019,313,0.6724327,US-HF,S30
89,2020,68,0.57666224,US-HF,S30
90,2020,123,0.5543172,US-HF,S30
91,2020,143,0.7216556,US-HF,S30
92,2020,168,0.9048321,US-HF,S30
93,2020,198,0.90357786,US-HF,S30
94,2020,233,0.91341025,US-HF,S30
95,2020,248,0.9185932,US-HF,S30
96,2020,263,0.9135013,US-HF,S30
97,2020,283,0.80995595,US-HF,S30
98,2020,288,0.76814127,US-HF,S30
99,2020,313,0.6578125,US-HF,S30
100,2020,338,0.6744958,US-HF,S30
